HVH_019_0040_0001	豈徒夾輔於左周召右 作屏翰於東方勤嗶颺於南面以上總弟
HVH_019_0040_0002	昆濟美不必續西山叩馬之歌周公制作丕新不徒表東海揚鷹之
HVH_019_0040_0003	烈太公道不北面太公化自南行召公老聞尚養堂終東海之濱太公德
HVH_019_0040_0004	可為師爰修北面之憲猲隅熊零雨隕東山之涕悲切於西救尾開南
HVH_019_0040_0005	國之祥化行自北 度則干戈可破東山之斧常則冠裳自通南
HVH_019_0040_0006	指之車 建東都而天休滋至功在元臣相南面而治績畢昭功盈
HVH_019_0040_0007	首輔 留教澤於西京秉周禮於東魯 居東者避其跡征
HVH_019_0040_0008	東仁其勞 怃西而願寄好音寫西悲曾勞軍士 駕言徂東
HVH_019_0040_0009	我來自東以上周公北燕立國聿廣同姓之封西旅貢獒爰作太保之
HVH_019_0040_0010	龍岡 藏板
HVH_019_0040_0011	訓 漢以南臻闋國之休陜以西著勤王之迹 伐東夷殘西奄以
HVH_019_0040_0012	上召公南至穆陵北至無棣專五侯九伯之征聊攝以東姑尤以西紹季鄶
HVH_019_0040_0013	蒲姑之治 東郊華魏虎之臣西土協竜彪之夢以上太公
HVH_019_0040_0014	以上方位門
HVH_019_0040_0015	秦士弥士淮氏榮氏 唐公虞公夏公殷公康叔蔡叔唐叔荀
HVH_019_0040_0016	叔免賁綴衣趣馬師氏御事庶士常伯準伝 靖淵封邢伯齡
HVH_019_0040_0017	封將呂侯八衛禽父徂東 鞞鞢命氏赤芾命氏越裳八貢甫慎八貢
HVH_019_0040_0018	周公把鉞秦顛執呂毛叔奉水術叔傳禮呂公贊采尚父牽牲叔
HVH_019_0040_0019	振嗶假管叔相殷畢公釋囚南宮振財史佚遷鼎閭大封墓
