HVH_019_0044_0001	在召公并蜂善螯幾危几之容維鳥方旟敢震翱之室
HVH_019_0044_0002	避謗二年貽王作鴟鴞之句征東三載美公與狼跋之歌
HVH_019_0044_0003	裳則繡而爭魚獸戎衣則衰而競幕鴻飛鴟音啟三監之流言
HVH_019_0044_0004	蜂螫圖一隅之負固蜎蠋在户亦可懷也鱒魴在罶無使為孑
HVH_019_0044_0005	以上周公磻溪符影虎之占渭水叩叶熊羆之夢跡烟屠牛誓聞
HVH_019_0044_0006	呼児功奏駟驔師陳牧野蹈名兔豹策著陰符驚息將
HVH_019_0044_0007	擊手而卑飛猛獸將搏而俯伏居爽鳩之墟舊揚鷹之烈以上太公
HVH_019_0044_0008	被其恩者騶虞武士化其政者羔羊大夫鹿麋明潔鼠雀清
HVH_019_0044_0009	寧與歌巢鵲無慮吠狺以上召公求雞斯之乘為大戎之行
HVH_019_0044_0010	龍岡文馬獻而九駟偕來寇轉而解玉門之厄寶龜燔而三妖遮諫密慎藏板
HVH_019_0044_0011	而陳牧野之師以上宜生以上動物門
HVH_019_0044_0012	植物雨膏卯黍風美召棠梓材作詰桐葉分封摽梅貞士葛藟
HVH_019_0044_0013	纘親親可舊踐予行常賢可尊尽爾苴茅棫樸菁莪
HVH_019_0044_0014	蘋蘩芹藻棘可斬葵可分茅可葺桐可翦君子來朝
HVH_019_0044_0015	寫敬魚藻嘉賓式燕爲詠鹿草交閭之篚幣偕陳絕域之篚
HVH_019_0044_0016	車巻至邛芳世竢常棣周親以上總南國棠甘召公東山作苦周公
HVH_019_0044_0017	桑土綢繆周公亶車燧伐太公厘餒殷憂於集菀周公留遺愛於
HVH_019_0044_0018	甘棠召公伐柯匪斧周公坐茅而湎太公誓方深於桃蟲歌已聞
