HVH_020_0015_0001	八遷以湯終爰受天命也五遷自湯始恭承天命也 殷民六族殷民
HVH_020_0015_0002	七族周之民猶以殷稱召誥命殷洛誥毖殷周之誥本由殷作
HVH_020_0015_0003	以上精義門
HVH_020_0015_0004	濬哲惟商保乂有殷 封建厥福長發其祥 今王新厥德嗣厥服
HVH_020_0015_0005	恐人依乃心迂乃心 先王懋敬厥德用集大命嗣王克終允德惟懷
HVH_020_0015_0006	永圖 惟聖罔念作狂惟狂克念作聖惟后非賢不乂惟賢非后不食
HVH_020_0015_0007	仰惟前代時若夙夜罔或不勤率乃祖考攸行終始念典於學
HVH_020_0015_0008	成德允協於先王彝憲永弼於乃后 寫善不同同匆於治慮善
HVH_020_0015_0009	以動動惟厥時 用永地於新邑集大命於厥躬 邦乃昌家之索
HVH_020_0015_0010	龍岡 藏板
HVH_020_0015_0011	予旦克羞爾自上其罰汝 若將隕於深淵哉其罔有黍稷
HVH_020_0015_0012	其克從先王之烈無敢伏小人之箴 曷弗念古后之聞敢對揚天子之
HVH_020_0015_0013	命 惟學遜志務時敏若農服田亦有秋 俾克邁前人烈用敷
HVH_020_0015_0014	遺後人休 其在爾商後王往求殷先哲王 惟先王昧爽丕顯惟尹
HVH_020_0015_0015	躬左右宅師 王不常厥邑民不適有居 古我先王古我前后
HVH_020_0015_0016	天命大邦載祀六百天位厥逼不挾四方 克配上帝奄有四方下土
HVH_020_0015_0017	肆嗣王丕承基緒予小子共承厥志 先王懋德而建厥中嗣王允
HVH_020_0015_0018	德而協於下 有成湯用降凶德而嘉績乃在朕邦有鹽庚乱越我
HVH_020_0015_0019	家用永地於兹新邑 無輕民事無安厥志 王用丕欽民用丕變
