HVH_020_0021_0001	重書升卜宅而詩歌廬旅母弟受咸林之賜孫謀輿豊水之
HVH_020_0021_0002	歌歌豊邕而思其盛詠離黍而歎其哀皇天震怒萬邦
HVH_020_0021_0003	咸休止旅邇密作豊伊匹徇師而誓徂旅以遏成王黜豊
HVH_020_0021_0004	侯覊王用師尹武王陳師於商郊成王定鼎於郟鄠
HVH_020_0021_0005	稷復帝武文蒙大難行道兌克敵豊殷旅若林王師於鑠
HVH_020_0021_0006	臨下有赫復膳如初
HVH_020_0021_0007	以上卦名門
HVH_020_0021_0008	西京鐘鼓東國詩書西母獻圖南仲出車豊水東注旅貞西
HVH_020_0021_0009	来西郊沛雨東海雄風居東避譖有此投讒河北次師社
HVH_020_0021_0010	南即位書陳北面馬繫西騅載主而東倒戈以北迺陟南岡
HVH_020_0021_0011	龍岡
HVH_020_0021_0012	藏板
HVH_020_0021_0013	尹兹東夏南工是保東山我祖惠此南國保彼東方
HVH_020_0021_0014	式是南邦使於東土南山君子西方美人威則周南與召南
HVH_020_0021_0015	並登於風哀則小東與大東交刺於雅零雨隕東山之涕悲切於
HVH_020_0021_0016	西歌風聞南國之祥化行自北西洛獻矣不聞開東澗之流規北海
HVH_020_0021_0017	為美未聞輿南單之役南山與北山同歌東人與西人並咏
HVH_020_0021_0018	京我於東京我於西主陜以東主陜以西自西徂東者太王之遷岐
HVH_020_0021_0019	自北而南者文王之布化東則澗西則瀍南有箕北有斗
HVH_020_0021_0020	士心為止有美西京伊何有媲東洛女心悲止采蘋南澗伊何采杞北
HVH_020_0021_0021	山南征不復敢膠楚澤之舟東遷何依竟刈温原之麥
