HVH_020_0026_0001	呼矣、莫之者白雲史之者白茆、佩以朱芾尊以黃目、牒鏤白玉
HVH_020_0026_0002	旅賜駉旄、黃既駕矣烏爰止矣、西伯戡黎康誥保赤
HVH_020_0026_0003	陰羽赤帝黃目駉剛、揚朱干奉妙瑁乘黃馬呼卅書
HVH_020_0026_0004	惟以純孝播青宮之譽敢以髦荒敗黃髮之名、以上采色門
HVH_020_0026_0005	器具 缺折破斧抱器陳疇、神冕縉笏袞衣繡裳、事圭植璧剌簋
HVH_020_0026_0006	憂煢、帶垂枲火檠喘深淵、鞗美竜章纘誇璧翬
HVH_020_0026_0007	奉障碩彥歌瑟嘉賓、造舟迎妹脫刻歌風、啟籥見書行枚
HVH_020_0026_0008	示奠、吹笙鼓瑟仗鉞麾旄、瓚用其玉瓚酌以金、壽眉有斗
HVH_020_0026_0009	勞尾無書、蠻夷率服德言紹衣、圖陳王會位絕明堂
HVH_020_0026_0010	龍岡 藏板
HVH_020_0026_0011	如圭如璋式金式玉、肖褐肖堂銘几銘杖、執簧執翿鼓琴
HVH_020_0026_0012	鼓瑟、荷戈無刺尋斧無傷、華賦裳之鳴歌几之、干戈一會
HVH_020_0026_0013	斧鉞三年、定都卜鼎繁彖陳疇、我衣厎績蕭宸臨朝
HVH_020_0026_0014	在庭鐘鼓八室衣裳、勺曰蒲勺俎曰房俎鼓曰懸鼓豆曰獻豆
HVH_020_0026_0015	玉門璇室洒酒速辜盧矢彤弓秉鞭作牧、秬秠來旬同親出迪
HVH_020_0026_0016	鈞璜佐命姬旅錄呈祥、賜履首尊王命錫鬯必告之人、改舟琯焉
HVH_020_0026_0017	而不護其非與弓矢鈞援而誰譏其暴、并璞山車宗正間陳符瑞葛
HVH_020_0026_0018	宮梓闕竹書用誌休嘉、昭音可式王度之金搨鼓用勒岐陽之石
HVH_020_0026_0019	鸎行潦以濯豐助亞祼而奉璋、尚在文而郊用陶匏貴在素而
