HVH_020_0029_0001	八駿乗矣道隆於穆四驪駕矣道復於宣、孝王之世馬獻於
HVH_020_0029_0002	我宣王之時免舞於鎬、文王春田發五犯五彘成王祭社用一牛一豕
HVH_020_0029_0003	穆王征伐得四狼四鹿、鴞之残龜之告小腆知我國有疵蜂可螫
HVH_020_0029_0004	鳥可拚孺子未堪家多難、蝨方深於桃蟲歌已聞夫桐鳳、
HVH_020_0029_0005	吉士翱鳴岡之鳳東人歌遵渚之鴻、梧桐生矣鷹揚即鳳翱
HVH_020_0029_0006	先声必徙綿矣鳧鷖即熈毛遺意、牧馬改車循復東都之政
HVH_020_0029_0007	鳴鶯伐木終存西土之風、漢江有化俗沿南國之秣駒河洛來貢
HVH_020_0029_0008	瑞應西山之鳴鳳、貢獒獻雉遠也何論於近馬縶、驚飛外也
HVH_020_0029_0009	何論於双、臣幸毫光之錫君昭燕喜之休、麟之角于嗟公
HVH_020_0029_0010	螽斯羽宜尔子孫、戴駪駪之德敬鹿臺之財、为鸛葛熊
HVH_020_0029_0011	撻伯禽命召虎、零雨悲矣鱒魴在罶雄風表矣虎豹在鞹骰
HVH_020_0029_0012	霤化矣騶虞在囿
HVH_020_0029_0013	葭菼誌美蘋藻明虔、荇菜河洲蘋繁沼沚、周邦楨幹
HVH_020_0029_0014	文囿綴蕘、書垂竹帛琢成梓行、踐予行葦盡尓苴茅
HVH_020_0029_0015	蓁々梧桐濟々榛楛、葛宮惕勵桑土綢繆、籥嘗路竹桐
HVH_020_0029_0016	鳳笛駒、誕降嘉種會伐平林、句則用蒲社則以栗、
HVH_020_0029_0017	武攷桃林穆葘草澤、桐葉分圭梓材作詰、烹葵剥棗
HVH_020_0029_0018	枝木偃禾、憂深集蓼典重分桐、卷耳求賢標梅貢士
