HVH_020_0033_0001	之
HVH_020_0033_0002	鼓鐘寫思古而作一則曰其德不回再則曰其德不猶君牙迹
HVH_020_0033_0003	古之詞一則曰丕顯哉謨再則曰丕承哉烈
HVH_020_0033_0004	時邁見受命之本我
HVH_020_0033_0005	將見保命之原
HVH_020_0033_0006	文酌見治道之隆武酌見威儀之盛
HVH_020_0033_0007	五權有書武所以敬天命大武有解成所以敬天道
HVH_020_0033_0008	洪範本禹謨
HVH_020_0033_0009	之舊周則首舉之以冠周
HVH_020_0033_0010	周則首舉之以冠周書王制貢殷法之遺周則
HVH_020_0033_0011	參用之以訂周禮
HVH_020_0033_0012	篇什降於離黍王者無雅誥命止於文侯
HVH_020_0033_0013	王者無書
HVH_020_0033_0014	生民見郊天之禮棫樸見禋帝之禮清廟見祀先之禮
HVH_020_0033_0015	〇文之謨曰丕武之烈亦曰丕率循者毋忘大下也文之彝曰廸武之禄亦
HVH_020_0033_0016	曰廸嗣守者貴有典常也
HVH_020_0033_0017	文開文徽之篇紀其詞者異其義為
HVH_020_0033_0018	龍岡
HVH_020_0033_0019	藏板
HVH_020_0033_0020	禾嘉禾之册存其意沒其文
HVH_020_0033_0021	列職方足駿禹貢之全著秦誓
HVH_020_0033_0022	可補湯征之缺
HVH_020_0033_0023	魯頌與費誓並存有思周公之意商詩與
HVH_020_0033_0024	秦誓並錄隱存固結之心
HVH_020_0033_0025	鴻雁見還定之規菁莪思樂育之化
HVH_020_0033_0026	巷伯見攻賊之善南山見疆之勞甫田見穡事之經大田見矜恤之意
HVH_020_0033_0027	攸叙攸斁即惠迪從逆之原洪範即禹謨之私旨保衡作新即休徵長
HVH_020_0033_0028	洪範称祀不称年尚從殷正微子書
HVH_020_0033_0029	人之道康誥亦文言之精微
HVH_020_0033_0030	微子不書宋循紀舊封
HVH_020_0033_0031	鎬曰宗周萬國所由導也宗洛曰成周
HVH_020_0033_0032	所由成也
HVH_020_0033_0033	費誓繫以周書知前代諸侯無私史秦誓附於周
HVH_020_0033_0034	誥知東遷天子亡舊章
HVH_020_0033_0035	考工不溯文酌之解柯匠可補冬官册
