HVH_020_0035_0001	我惟時其教告之天毖閟我成功所 克明德慎罰乃偃武修文 靈承於旅乃克靈承於帝無
HVH_020_0035_0002	疆惟恤斯能無疆惟休 謀猷告於我后出入自爾師虞
HVH_020_0035_0003	易弗念我古先后時不夾乂我周王 斯謀斯猷曰惟我后之德是訓 則其無淫於
HVH_020_0035_0004	是行以近天子之光 逖矣西土之人勗哉今日之事
HVH_020_0035_0005	奠於逸於遊罔攸兼乎庶言庶獄庶慎 無以利口乱厥官罔以側 鞠人謀人之保居有幹有年於茲土 作周恭先作周
HVH_020_0035_0006	言改厥度 曷其奈何弗敬其終出於不祥
HVH_020_0035_0007	字先用康保民用康乂民
HVH_020_0035_0008	其有能稽謀自天人乃或壽張爲幻幼 顧俊尊上帝廸簡在王
HVH_020_0035_0009	庭 龍岡 藏板
HVH_020_0035_0010	爾乃尚有爾土天惟時求民主 仰惟前代時若則知小人
HVH_020_0035_0011	之依 胥訓誥胥保惠胥教誨康乃心顧乃德遠乃猷
HVH_020_0035_0012	在我後嗣子孫敢告上帝神祗 永弼乃后於奔憲其集大命於
HVH_020_0035_0013	厥躬 我不以後人迷克以爾多士方簡 宅尔宅田尔田惠不惠
HVH_020_0035_0014	懋不懋 弼我明明后受此玉基 用勸相我國家其克詰尔
HVH_020_0035_0015	戎兵 宅乃事宅乃牧宅乃準 遵王義遵王路遵王道
HVH_020_0035_0016	尚克修和我有夏不可不監於有殷 尔乃惟逸惟頗厥或怨汝詈
HVH_020_0035_0017	汝 尔惟克勤乃邦我惟祗告尔命 其惟克用常人尔無昵
HVH_020_0035_0018	於佞人 自一話一言用三宅三俊 迪禄茲四人昭武王惟冒寫
