HVH_020_0072_0001	爲自楚而榮成伯歌詩 晉以不朝而使討周以不聘而來徵
HVH_020_0072_0002	貴將叛而御人歌顧之盟而齊人責 賦視邾滕鄰依齊晉
HVH_020_0072_0003	股肱周室脣齒鄰邦 脅公不恊背城而戰 聞言而欬掩耳
HVH_020_0072_0004	望君敢不稽首 仲子生而手有文孟任閔而臂可割 左顧而
HVH_020_0072_0005	歎右顧而笑執玉而仰受玉而卑 后無二嫡故隱公者仲子之宮
HVH_020_0072_0006	子不絕母故僖公請哀姜之尸 女公子有牆外之戲此婦人來監子
HVH_020_0072_0007	之諛 哀姜與知而遜邾文姜書姦而如齊 命氏則孫從
HVH_020_0072_0008	其祖通祀則子不先父 廟立鍾巫宮成楚室 周告饑而請糴王
HVH_020_0072_0009	告禋而請盟 請糴於齊爲粟於蔡 哀庭堅之不祀傷太皞
HVH_020_0072_0010	龍岡 其誰司 以上雜組門 藏版
HVH_020_0072_0011	精義 於有駮見君臣之有道於泮水見君臣之有禮 閟宮見軍政之嚴
HVH_020_0072_0012	誓見兵威之肅 巡守不陳詩瘳周公也故魯無詩禮樂用天子
HVH_020_0072_0013	尊周公也故魯有頌 田制壞則書稅畝
HVH_020_0072_0014	田賦軍政壞則書丘甲三
HVH_020_0072_0015	軍 三時之役不均而城築則書九伐之法不正而侵伐則書
HVH_020_0072_0016	書來聘來朝知輯瑞之不舉書大蒐大閱見講武之不時 圜邱禮廢
HVH_020_0072_0017	郊廟垂文祧廟制禋桓僖寓意 婚喪失而微言迭誌姪娣姜方貢
HVH_020_0072_0018	缺而下求遞來車賵 封疆廢於司徒而以爲田易田書時憲咸於保障
HVH_020_0072_0019	而以日食甞八書輿圖洧於職方而以彭城虎牢書 天王錫命典職
