HVH_020_0080_0001	有渤海
HVH_020_0080_0002	東負滄海河饒而接岱宗藩險
HVH_020_0080_0003	有淮北則建之國
HVH_020_0080_0004	東危有濟西則趙之河東危
HVH_020_0080_0005	處東藩稱東帝
HVH_020_0080_0006	以上方位門
HVH_020_0080_0007	人品
HVH_020_0080_0008	宰孔賜胙伯廖賜命敬仲辭卜夜之飲屈完退召陵之師豎貂
HVH_020_0080_0009	漏師而不能去雍巫預策而不知危桓公莊公壯聲威於海岱州綽與殖綽
HVH_020_0080_0010	爭雄張武軍於熒庭子車與子游並御莊公乘共仲之亂莊公殺魯瞯
HVH_020_0080_0011	子華之奸致要盟惠公請叔姬景公為庶姬惠公賜司徒之
HVH_020_0080_0012	妻懿公及閭戱之妻莊公弔杞梁之妻襄公通於文姜莊公通
HVH_020_0080_0013	於棠姜
HVH_020_0080_0014	龍岡
HVH_020_0080_0015	以上人品門
HVH_020_0080_0016	藏板
HVH_020_0080_0017	數目
HVH_020_0080_0018	五月報政百里受封閭二百四十年之宿局當七百三十世之中興
HVH_020_0080_0019	立三宰三俊合五家五鄉地則三千餘里室則四萬二千
HVH_020_0080_0020	形勢稱四塞物產甲五方提封十萬并帥服三十國持戟之士
HVH_020_0080_0021	百萬風之詩篇十二連里之率萬有三險隘之地十有二
HVH_020_0080_0022	待其祿者五百家仰其威者二十鄉禪梁父者七十家隸臨菑者
HVH_020_0080_0023	七萬戶表雄風於海甸稽年者十二侯誇帶礪於河山并包者七
HVH_020_0080_0024	萬戶法習六韜强兵者祖之財生九府富國者祖之
