HVH_020_0083_0001	器具 轂擊肩摩、履屨躡貴、束馬懸車、包茅苴篚、博奕蹋鞠之戲
HVH_020_0083_0002	豆區釜鐘之量、成垺成幕、重釴重環、元冕之尊、先群使而賜
HVH_020_0083_0003	復太師之賈、踵叔父而分箧、其無冠乎、突而弁兮、散笥傷齊子之
HVH_020_0083_0004	多簞菲、歌魯道之蕩、衣裳有顛倒之虞、冠縵有從兩之詠
HVH_020_0083_0005	公量家量、徵招角招、連衽擊袂、端委縉笏、懲釋中鉤
HVH_020_0083_0006	威凛咫尺、標剗之 [缺字] 曹子無仇、射鉤之仲父可釋 桓公 鄭共資糧
HVH_020_0083_0007	扉屨絇賂、瑤璵玉 [缺字] 笙、徐賂甲父之鼎、魯獻龍輔之玉
HVH_020_0083_0008	衛寶為於魯、紀甗賂於晉、樂噐賂於晉、宗噐取於郳
HVH_020_0083_0009	龍岡
HVH_020_0083_0010	藏板
HVH_020_0083_0011	晉假羽毛而非反、邢其器用而後遷、襄公田貝邱而喪屨、景公
HVH_020_0083_0012	宴晉國而投壺、襄公墜車見鵀、公 頃公 受玉辱為婦人
HVH_020_0083_0013	莊公與崔子之冠、景公雉尾之車、甲不解纍、兵不解衣、翳猶
HVH_020_0083_0014	埴在埏、鎔金在鑪、引銚當劍、戰被蓑衣、當鎧襦、菹豆當肴櫓
HVH_020_0083_0015	以上器具門
HVH_020_0083_0016	敕物
HVH_020_0083_0017	齊俗急功、其風有盧令、揖育之好、前人多詐、其習逞闘鷄走狗之雄
HVH_020_0083_0018	君臣之美明、則陳氏不敢厚施、何事隕牛山之涕、夫婦之綱肅、則齊子
HVH_020_0083_0019	不能為㐀、何須設魚笥於梁、祇也綏、驪也濟、魚也唯
