HVH_020_0099_0001	妃及瓜 桑木繫而高固勇 濮蔡蛮而崔武凶 楚申池之飲及子
HVH_020_0099_0002	山之棘得慶氏之木 業妥妥而崔氏乱 麻嬰尸而慶氏乱
HVH_020_0099_0003	索無咎相崔氏桑 掩骨御國子 晏弱園崇子稚盟莒 茅貢以貢
HVH_020_0099_0004	其供葵邱以修其好 晉仲饋桃而食公 計功裹裘而対因佯問
HVH_020_0099_0005	苴經菅屨寢莒槐草 管仲泣有旅樹之僭晏子論鹽梅之和
HVH_020_0099_0006	眾祝禮下祗掌華屋 蘇代有桃梗之喻淳于有棘軸之求
HVH_020_0099_0007	穰苴奠測葉陽無恙 燒棘蒲喻松栢 以上植物門
HVH_020_0099_0008	雜組 崔氏之乱滅其家慶氏之木亂亡其邑 商人貸於有司崔成乱於無咎
HVH_020_0099_0009	龍岡 陳鮑之園為優藥高之疾嗜酒 是同非和辨子猶之諛主厚施薄取 藏板
HVH_020_0099_0010	恨陳氏之得民 髮甚短而心甚長寢其皮而食其肉 伯氏沒齒無怨
HVH_020_0099_0011	言徒人示背而閿死 則鮑牽之足駢慶舍之肩 卅綽射殖
HVH_020_0099_0012	綽之肩冉毋野中武子之手何忌取林雍之耳 國奢示儉國儉示
HVH_020_0099_0013	禮有否獻可有可替否 管仲受下卿之禮晏子為萬民之望
HVH_020_0099_0014	國書許賞慶封好田 叔子唯觀而笑於唇孟子蒙衣而入於閣 欒高信以陳鮑為優
HVH_020_0099_0015	封與娶以易以娶與舍不避宗
HVH_020_0099_0016	卜晝未遑卜夜絜大敢辞守道不如守官招弓不往 左師車下右
