HVH_021_0008_0001	剋則一載而逼伯惠則三施而無報 獻則一國三公悼則八年九合
HVH_021_0008_0002	悼公五會平公七合 文公有上人者三七悼公遜不臣者七人
HVH_021_0008_0003	獻公殺游氏二子厲公尸郤氏三卿 周賜虎賁三百秬鬯一卣鄭
HVH_021_0008_0004	賂女樂二八歌鐘二肆 秦饋七牢衛綟十穀 薛齊師則降
HVH_021_0008_0005	以綟討魯罪則問二憂 宋贈二十乘魯徵十一牢 秦送衛三
HVH_021_0008_0006	千人齊贈惠二十乘 文公五鹿野人之塊天賜重耳拜
HVH_021_0008_0007	圖兆瑞文公九獻受成王之享三舍避楚子之兵文公賂秦地以列城五獻
HVH_021_0008_0008	荊俘則徒兵千 合十三國以伐秦率七十人以門衙
HVH_021_0008_0009	龍罔
HVH_021_0008_0010	藏板
HVH_021_0008_0011	退一舍以降原服三強而敵楚 戰於韓則千乘三去帥於汜則
HVH_021_0008_0012	四軍三分 武公興而軍始為一太子將而軍判為二元帥謀而軍
HVH_021_0008_0013	創為三卿士增而軍借為四 蒐被廬而作三軍蒐清原而
HVH_021_0008_0014	作五軍 文公作三行以禦狄景公作六軍以賞功 郤子將兵
HVH_021_0008_0015	乘以八百祁南簡卒乘以四十 戰城濮者七百乘擊馬陘者八百
HVH_021_0008_0016	乘 兩於前伍於後敗狄從魏舒之策二人後一人為守走從雍子
HVH_021_0008_0017	之謀 降原而命糧三日圍鼓而不戮一人 裹舍三軍悼勤
HVH_021_0008_0018	三駕 二屈置夷吾韓原敗范氏分三戶獻戎捷 文公服王命
