HVH_021_0009_0001	以綏四國景公継伯業而至十年 文公七十九年而得國悼公生十四年
HVH_021_0009_0002	而為君 五声以和八風以平 分為四時序為五節 一輿一奪一
HVH_021_0009_0003	彼此 二公子皆知之半天子不過也 五降以後不容彈九州之
HVH_021_0009_0004	險不一姓 宵遁入軍終無藉於二匡一夫無禮速寇寇究戰志於九縣
HVH_021_0009_0005	十家 同氣止此九人上人履惟三士夫公飾其貌而從命必三辭諚
HVH_021_0009_0006	其文而受策必三覲 文公七合諸侯平公三合大夫 義無二信
HVH_021_0009_0007	信無二命再朝而會再會而盟 鄭賂車十五齊喪車五百
HVH_021_0009_0008	淫生六疾禳謝二神平公教民二年而敵用勤五年而不遑
HVH_021_0009_0009	龍岡
HVH_021_0009_0010	藏板
HVH_021_0009_0011	獻公寵夫政之二文嬴請其帥之三 臣一主二大國豈無國一公三吾
HVH_021_0009_0012	從誰適 生二十一年而出亡待二十五年而後嫁文公二路陽裹一乗樊
HVH_021_0009_0013	厲 考戢方听司称豫州二男焉不如三男五男也衛康叔所封有
HVH_021_0009_0014	帳姓九宗焉不北七族六族也 以懲不壹好學不貳 祥徵五鹿饋
HVH_021_0009_0015	賁七宋 田六日而謀成子九人惟君在 三軍度為五而上下軍之
HVH_021_0009_0016	勢張五乗度為三而左右舟之威張 陳十五國之詩魏列於風編二
HVH_021_0009_0017	百年之史晉獨名乗 称雄者七晉據其三級客有四晉分其二
HVH_021_0009_0018	以上數目門
