HVH_021_0013_0001	喻松栢 華而不實 怨所聚也 落而肌材 戰宜克也
HVH_021_0013_0002	獻公叔婦預卜薫蒨悼公有兄不辨菽麥 平公之疾雖言穀之飛
HVH_021_0013_0003	景公之疾不黍之食 是公有桃園之攻厲公有桑林之禱
HVH_021_0013_0004	享魯文公賦菁莪享季武子賦黍苗 魯享晉卿於蒲圃牢
HVH_021_0013_0005	享晉君用桑林 嘆蠶妾之求桑不念成謀於姜氏嘆季隗之就
HVH_021_0013_0006	木室愁紉女於咎如文公齊輸泥民之粟 狄飢向陰之木
HVH_021_0013_0007	伐鄭而會棐林服狄而會棐函 伐鄭次桐邱及秦戰康隧
HVH_021_0013_0008	與秦戰櫟爲鄭城梧 軍廬柳盟長樗 宋桑敗狄薪楚迎
HVH_021_0013_0009	龍岡 藏板
HVH_021_0013_0010	君 覓師以登有莘之壄嫁女不従史蘇之詠占 出自蒲城入
HVH_021_0013_0011	自桑泉走公 以上植物門
HVH_021_0013_0012	雜組 朝多君子國無游民 憂深思遠土瘠民貧 厥田中上厥賦上中
HVH_021_0013_0013	慨揚水盟言從子散椒聊致咏無朋 晉人無信晉政多門
HVH_021_0013_0014	君明臣忠上讓下競 胡瞻尔庭为于其室 戰以德政伯以文教
HVH_021_0013_0015	役號遷延師称𡎊賜 楚材晉用楚盾晉曲 晉爲旬侯晉爲
HVH_021_0013_0016	武穆 唐叔之封其後大唐叔之後其後衰 復諫違卜喜賂
HVH_021_0013_0017	怒頑 國大臣睦君卑政暴 歌詩必類投壺誰先 國無積滯
