HVH_021_0022_0001	門衛者午聘魯者庚
HVH_021_0022_0002	辛也修士為之法寅也為吉射之嫻
HVH_021_0022_0003	桃甲入朝歌蜀寅城汝濱
HVH_021_0022_0004	語良奠同出已如賈 絳老獨綿夫亥
HVH_021_0022_0005	算劉雉共焚乎申池
HVH_021_0022_0006	范文祈死卒以戊辰趙孟未老卒以戊庚
HVH_021_0022_0007	林父以辛亥滅潞荀吳以壬午滅肥
HVH_021_0022_0008	辛亥兆簡子之蔑庚辰應史
HVH_021_0022_0009	墨之占
HVH_021_0022_0010	以上干支門
HVH_021_0022_0011	卦名 觀虎恃勇鮮能忘仇
HVH_021_0022_0012	解揚囚建隨會在秦 孟賁皇賁
HVH_021_0022_0013	諸侯之選梁益耳乃叛逆之臣
HVH_021_0022_0014	師曠侍悼公之飲復陶封絳老
HVH_021_0022_0015	之官 封成師殺即豫
HVH_021_0022_0016	師服論各早知兆乱解張有勇更聲
HVH_021_0022_0017	龍岡
HVH_021_0022_0018	藏板
HVH_021_0022_0019	何嘉 翼侯奔隨趙稷奔臨
HVH_021_0022_0020	趙鞅鑄鼎士旬聽訟
HVH_021_0022_0021	荀偃受賂昪范自請塞井
HVH_021_0022_0022	未出山而復乃登虚以免
HVH_021_0022_0023	主子不為此不行之謂臨
HVH_021_0022_0024	履士會之足履林文之位 晉梁帶能
HVH_021_0022_0025	無用師清泮難因之傷訟
HVH_021_0022_0026	趙孟使兄承此以安叔向殺親族盖加棠
HVH_021_0022_0027	太子之玦已離卻至之甲可象
HVH_021_0022_0028	咸黜不端以定王家盖敬其便而輕
HVH_021_0022_0029	魯幣 享公子何須離衛璧農夫必有豐年
HVH_021_0022_0030	晉克有蠱
HVH_021_0022_0031	疾生女齊為師保
HVH_021_0022_0032	以上卦名門
HVH_021_0022_0033	方位 荀吳畧東陽鍾儀操南音
HVH_021_0022_0034	申生伐東山趙孟適南陽 樂盈被掠
