HVH_021_0023_0001	於西鄰荀偃有事於東方 知伯伐鄭入於南里解楊敵堙囚騅
HVH_021_0023_0002	林 魏子居南面以干位壽餘請東人之能言 叔魚除西河之
HVH_021_0023_0003	館𠈁綽識東閭之枚 趙勝帥東陽之師鐘儀歌南風之曲
HVH_021_0023_0004	𨻶妻河東讎盟河西 知有西師將請東夏 以上方佐門
HVH_021_0023_0005	人品 韓起好仁范匄知禮 叔向古之遺直董狐古之良史
HVH_021_0023_0006	𠈁綽勇士督戎力臣 王鮒字而慢知伯慢而貪 子雍好善
HVH_021_0023_0007	而長欒書從善如流 叔齊知禮士鞅知言 韓宣辭不失
HVH_021_0023_0008	舊士會賊而有耻 子野信而有徵趙嬰淫而無罰
HVH_021_0023_0009	龍岡 藏板
HVH_021_0023_0010	狼瞫於是君子趙孟僣於隷人 雍子賈直涉佗無禮
HVH_021_0023_0011	伯石有野心叔魚多勇力 祈瞞奸命揚干乱行 韓無忌仁
HVH_021_0023_0012	使掌公族董安于忠可享廟祀 卻犨傲家其亡乎伯宗直难
HVH_021_0023_0013	及也 魏戊遠不忘親近不僣下祁奚及不避親外不避仇
HVH_021_0023_0014	史黯進不見惡退無謗言林父進思盡忠退思補過 寺人披除
HVH_021_0023_0015	惡唯力是視范宣子刑善而國以平 欒武子之德歆於神
HVH_021_0023_0016	卻氏不免韓氏其昌 成季無後何以勸善韓起君子何以樹善
HVH_021_0023_0017	魏舒近不失親遠不失縻趙穿有毫而弱好勇而狂 知伯慢而好
