HVH_021_0045_0001	祇威當戚康乃心顧乃德遠乃猷
HVH_021_0045_0002	微君之故胡為乎中露靜女其姝俟
HVH_021_0045_0003	我城隅
HVH_021_0045_0004	樹之榛栗椅桐梓漆修尔車馬弓矢我兵
HVH_021_0045_0005	無逝我梁無發
HVH_021_0045_0006	我蔇既之之監或佐之史
HVH_021_0045_0007	以遨以遊載笑載言
HVH_021_0045_0008	威儀抑抑屨及卑僣
HVH_021_0045_0009	視尔夢夢聽我譪譪
HVH_021_0045_0010	爰居爰處奠往夏
HVH_021_0045_0011	我思古人伊須我
HVH_021_0045_0012	友
HVH_021_0045_0013	顯受其福不知其秩
HVH_021_0045_0014	不僣不賊不伎不求
HVH_021_0045_0015	宴尔新昏如鱮
HVH_021_0045_0016	偕老
HVH_021_0045_0017	儀如之人兮永以為好也
HVH_021_0045_0018	不可轉也不可卷也就其深矣就其淺矣
HVH_021_0045_0019	衛其墉可為旁簡其庶有瘳乎
HVH_021_0045_0020	有出者有居者不貳可以事君或摧
HVH_021_0045_0021	之畝挽之雖虐遍能復國
HVH_021_0045_0022	嗣尔股肱惠於朋友
HVH_021_0045_0023	質尔人民謹尔侯
HVH_021_0045_0024	龍岡
HVH_021_0045_0025	藏板
HVH_021_0045_0026	度誰守社稷誰扞犵收閨
HVH_021_0045_0027	棄父之命惡用子矣君制其國誰敢奸之
HVH_021_0045_0028	辟尔為德俾臧俾嘉有渝此盟是糾是殛
HVH_021_0045_0029	以上成語門
HVH_021_0045_0030	世系
HVH_021_0045_0031	附春秋世系
HVH_021_0045_0032	桓公在位十六年 十三年八春秋
HVH_021_0045_0033	宣公在位十九年 惠公在位三十
HVH_021_0045_0034	十一年 懿公在位九年 閔公二年為狄滅
HVH_021_0045_0035	戴公在位一年
HVH_021_0045_0036	文公在位二十五年
HVH_021_0045_0037	成公在位三十五年
HVH_021_0045_0038	穆公在位十一年
HVH_021_0045_0039	定公在位十三年
HVH_021_0045_0040	獻公在位十八年奔齊
HVH_021_0045_0041	殤公在位十二年
HVH_021_0045_0042	獻公二十六年復入衛又在位四年
HVH_021_0045_0043	襄公在位九年
