HVH_021_0057_0001	六品定之公平。
HVH_021_0057_0002	邨以幄幕九張。
HVH_021_0057_0003	趙孟孝辞。
HVH_021_0057_0004	遵王五獻。
HVH_021_0057_0005	棄疾見以乗馬八匹。
HVH_021_0057_0006	楚子賜鍾儀其三晋之篚。
HVH_021_0057_0007	鼎受其二。
HVH_021_0057_0008	武公收十邑。
HVH_021_0057_0009	文公去三族。
HVH_021_0057_0010	獻公戎捷甲首三百。
HVH_021_0057_0011	絳甞賂歌鍾二肆。
HVH_021_0057_0012	福未歌必亡。
HVH_021_0057_0013	缶而後缶。
HVH_021_0057_0014	久之作且三日而毋哭。
HVH_021_0057_0015	請於郢而醯盟之三。
HVH_021_0057_0016	敵於楚而獲人之九。
HVH_021_0057_0017	楚之園旬有七日。
HVH_021_0057_0018	熗之相四十日。
HVH_021_0057_0019	武 圍鄭而取三師。
HVH_021_0057_0020	伐我而獲二師。
HVH_021_0057_0021	敗我而覆。
HVH_021_0057_0022	請為三戰。
HVH_021_0057_0023	王而拒且为二。
HVH_021_0057_0024	免牢逼晋。
HVH_021_0057_0025	罵時三日。
HVH_021_0057_0026	祖牽楚縣幾十。
HVH_021_0057_0027	十五乘。
HVH_021_0057_0028	賂於晋七百乘。
HVH_021_0057_0029	伐於陳。
HVH_021_0057_0030	獲牢甲車四百。
HVH_021_0057_0031	賂晋女樂二八。
HVH_021_0057_0032	莊公之子。
HVH_021_0057_0033	張有八人。
HVH_021_0057_0034	穆公之子。
HVH_021_0057_0035	僅存七族。
HVH_021_0057_0036	十二牛犒秦。
HVH_021_0057_0037	伯之師三十人。
HVH_021_0057_0038	遷里析之穧。
HVH_021_0057_0039	以上數目門 龍岡 藏板青紺刺士。
HVH_021_0057_0040	絘衣好賞。
HVH_021_0057_0041	黃父鬼而辱於音。
HVH_021_0057_0042	黑壤公而服於音。
HVH_021_0057_0043	黃泉立誓。
HVH_021_0057_0044	言在上無母子之情。
HVH_021_0057_0045	里胘委禽在下。
HVH_021_0057_0046	解夫婦之禮。
HVH_021_0057_0047	幕有鳥而奔。
HVH_021_0057_0048	可止日乘黃而大其褐。
HVH_021_0057_0049	以上朱色門車出於巷。
HVH_021_0057_0050	珪賈於河。
HVH_021_0057_0051	槃暈銀賜。
HVH_021_0057_0052	自王羽旄。
HVH_021_0057_0053	假自晋。
HVH_021_0057_0054	釋棚包乃縞衣藇巾。
HVH_021_0057_0055	窞窞影而涉。
HVH_021_0057_0056	溱洧佩玉而耀瓊琚。
HVH_021_0057_0057	琴瑟静好以畵。
HVH_021_0057_0058	牋雜佩。
HVH_021_0057_0059	報問以親。
HVH_021_0057_0060	賻〇駄衣貼甞彩。
HVH_021_0057_0061	廣車𨏬車。
HVH_021_0057_0062	縛磬可以行成。
HVH_021_0057_0063	襄鍾無容致賂。
HVH_021_0057_0064	淫風行而女也同車曰獵。
HVH_021_0057_0065	騁而叔也。
HVH_021_0057_0066	執轡。
HVH_021_0057_0067	玉帛侍於竟。
HVH_021_0057_0068	寶器取於周。
HVH_021_0057_0069	與擊帶而增案鑄刑鼎而具譭。
HVH_021_0057_0070	許田而假以璧。
HVH_021_0057_0071	楚金而鑄之鐘。
HVH_021_0057_0072	爵不與而怨。
HVH_021_0057_0073	玉緜是執以助
