HVH_021_0065_0001	亡也國民其先亡乎 原或典司宗祏大叔曾為金正 燭武壯不如人老無
HVH_021_0065_0002	釁及子皙好妄人上莫能相下 駿蔑惡一言而喪子羽知四國之為 高克好利
HVH_021_0065_0003	為賦清人子產知禮稱為惠人 裨竈能知天文馮簡能斷大事
HVH_021_0065_0004	子皮自知不足子張用戒不虞 恭仲以知免伯有以慢亡 子產陵牾裨
HVH_021_0065_0005	堪善謀 子臧之服不哀孔張之位已失 子國子耳之後雅以靖羣心
HVH_021_0065_0006	子嶠子孔之材不足悻寡志 駟秦專制鄧析乱法 叔郁不弟者
HVH_021_0065_0007	叔淹孝 雍𣵀汁謀及婦人宜其死也子產讓不失禮宜加政矣
HVH_021_0065_0008	公子忽先配已誣其祖公孫黑奪婦强委以禽 强鉏不能衛其足游
HVH_021_0065_0009	龍岡
HVH_021_0065_0010	吉不能亢夫身 盈庭執紲子駟徒以威權踰國貽憂伯有何知風雅
HVH_021_0065_0011	卻秦穆之師者燭武識蓋明之亦者絃高 子南可遜子皙可凡 虢叔忮
HVH_021_0065_0012	勢卻忠恃險 力逞操而異何之割鷄有逼而味憂之言以下子產為豐氏之外田
HVH_021_0065_0013	对罕朔之班位 亟伯有以厚其亡賂伯石以靖其乱 问然明之改見面且览
HVH_021_0065_0014	心𣵀季札之交贈德還頃贈行 戒韓起以恪恭在朝美孔張之後至失位
HVH_021_0065_0015	密人之母敗時之相 立𢏚以慰良霄而具魂魄賂邑以與伯石要其成功
HVH_021_0065_0016	仲尼隆兄事之文子皮有家事之喧 貨何必用董父因以獲怱幣将不行子皮不
HVH_021_0065_0017	能自克 視民如子誅不仁而見然明之意思始成終如農功而論游吉之政子產
