HVH_022_0015_0001	動物 鳩扈命官，鳥鳶戱
HVH_022_0015_0002	羔羊表度，宜是儲林
HVH_022_0015_0003	雞鳴畫戱，尨嗥揚休
HVH_022_0015_0004	委蛇退食，設鵲從公
HVH_022_0015_0005	鶴鳴誨主，鴻漸從君
HVH_022_0015_0006	君也鹿鳴，式宴臣也，象簦
HVH_022_0015_0007	朝 孤哭忠教其子，觧虞作貭於野
HVH_022_0015_0008	暨貂為帽，臣祝鮠為佞，臣叔魚為
HVH_022_0015_0009	乱臣，暨牛為謀臣
HVH_022_0015_0010	竜 雛雉介旅，斐貢
HVH_022_0015_0011	史臾秉直，叔豹知禮
HVH_022_0015_0012	董孤良史，陽虎乱臣
HVH_022_0015_0013	居息或磯，夫𠜎𪅏出言或鄙，其虵𦗏
HVH_022_0015_0014	麟可批，昌骨可鯁，乘馬步馬，潜竜見
HVH_022_0015_0015	夔能典樂，龍作納言
HVH_022_0015_0016	諛與竜尾，犯諫者之，奇食胏熊，蹯聯諫者，宣子
HVH_022_0015_0017	元老熊羆，碩膚狼跋，鶴飛美且，鵷華刺侘
HVH_022_0015_0018	晏子向免門而立，桓子藏象魏之書
HVH_022_0015_0019	以上動物門
HVH_022_0015_0020	植物 爾雅麵蘗，汝作鹽梅
HVH_022_0015_0021	無棄菅蒯，用固芑桑，憂歌孔棘，樂詠蘂華
HVH_022_0015_0022	住槐住棘，伐輻伐檀，門有棘園，樹檀
HVH_022_0015_0023	王 歌桑扈，懲𪅏𪅏
HVH_022_0015_0024	效桐不為憂，觸杻不為逆
HVH_022_0015_0025	子桑之忠，也能季妾，椒誠之乱，巴敵攻
HVH_022_0015_0026	以上植物門
HVH_022_0015_0027	雜組 颺言拜手，面折廷諍，文仲立言，知營尽禮，軒官紀瑞，陶輿綍翣
HVH_022_0015_0028	臧孫德諫，傳家趙氏，忠烈結世
HVH_022_0015_0029	仰段保其家，氾氏言於國，壯不如人，燭武維
HVH_022_0015_0030	而見敵死，護其所恨，暉怒以從師
HVH_022_0015_0031	宰話治吳，無極乱楚，有竈而歿，趙穿之
HVH_022_0015_0032	佐軍之才，死德而貪，曼涌肆圃，卿之語
HVH_022_0015_0033	祁夷舉善，藥盈叛國
