HVH_022_0016_0001	石碏純臣，孝叔純孝， 史魚尸諫，魯奉兵諫， 敷予心腹，腎腸作朕，股肱耳
HVH_022_0016_0002	目， 勳相國家，弼亮天地， 作霖雨，召風雷， 殘土食毛，犯顏逆耳
HVH_022_0016_0003	思日贊，襄弼我明，后 司徒書名，司馬書服，司空書功， 沔水規玉
HVH_022_0016_0004	鶴鳴誨主， 以上雜組門
HVH_022_0016_0005	父母 附子道不肖
HVH_022_0016_0006	天文 春露秋霜，冬温夏凊， 晨修夕潔，出儀八風， 悅深憂日，怨賦凱風， 以上天文門
HVH_022_0016_0007	地輿 愛叔段而清京，逐芮伯以居魏， 哀姜哭市，穆嬴啼朝， 倚門倚閭，陟
HVH_022_0016_0008	龍岡 倫常 子道 十六
HVH_022_0016_0009	陡此， 閨家無悔，履疴受享， 新臺見刺，沔水興歌， 以上地輿門
HVH_022_0016_0010	干支 祁奚擧午，父不避子，媯建子使辛，子不報父之怨， 申生爲晉太子，甲父逆鄭
HVH_022_0016_0011	太子 裔臣為宮，甲之園，宜曰動我哀之歎， 立子而訪，申豐命，名而問
HVH_022_0016_0012	申繩 閔子居鄭，無忘首勳，武丁居喪，未嘗見齒， 以上干支門
HVH_022_0016_0013	卦名 竊即見殺，列鼎興悲， 包荒可以克家，幹蠱可能益父， 乾父坤母，震
HVH_022_0016_0014	男 艮女， 不臨深，如履薄， 顏復恩深，杖履孝備， 憂灕深，離裏老
HVH_022_0016_0015	戒恒言， 以上卦名門
HVH_022_0016_0016	方位 三頑將殺，南子偏衣而伐東山， 歌南山，詠北山， 以上方位門
