HVH_022_0039_0001	免狀晉文駢脅、
HVH_022_0039_0002	以上動物門
HVH_022_0039_0003	植物
HVH_022_0039_0004	蓬、
HVH_022_0039_0005	芳言自口、蘭臭盟心、
HVH_022_0039_0006	指亦分枝、芝還重繭、
HVH_022_0039_0007	腹原堪果、首豈如
HVH_022_0039_0008	以上植物門
HVH_022_0039_0009	天文
HVH_022_0039_0010	威儀
HVH_022_0039_0011	光華日麗、文采風流、
HVH_022_0039_0012	就之如日、瞻之如雲、
HVH_022_0039_0013	以上天文門
HVH_022_0039_0014	采色
HVH_022_0039_0015	黃裳元吉、白賁無咎、素履無愆、
HVH_022_0039_0016	以上采色門
HVH_022_0039_0017	器具
HVH_022_0039_0018	爾室圭璋、賓筵俎豆、
HVH_022_0039_0019	淑人表帶、絇之度、都人耀臺、笠之光、
HVH_022_0039_0020	式金式玉、鼓瑟鼓簧、
HVH_022_0039_0021	立則磬折、視則疏僂、
HVH_022_0039_0022	邾子執玉高、魯公
HVH_022_0039_0023	龍闈
HVH_022_0039_0024	威儀
HVH_022_0039_0025	受玉卑、
HVH_022_0039_0026	晉侯受玉惰、趙鞅執幣傲、
HVH_022_0039_0027	以上器具門
HVH_022_0039_0028	動物
HVH_022_0039_0029	鼠刺無侵、豹稱知禮、
HVH_022_0039_0030	黿老可挹、兔拜堪瞻、
HVH_022_0039_0031	易占麂、豹詩貍、
HVH_022_0039_0032	詠鳴鳩、
HVH_022_0039_0033	度叶鸞和、
HVH_022_0039_0034	儀昭象服、
HVH_022_0039_0035	儀容安燕、氣度委蛇、
HVH_022_0039_0036	容戒騷、居譏燕、
HVH_022_0039_0037	以上動物門
HVH_022_0039_0038	植物
HVH_022_0039_0039	衣如菑而可畏、鳩在桑而有儀、
HVH_022_0039_0040	以上植物門
