HVH_022_0045_0001	數目
HVH_022_0045_0002	黃離元吉白賁元咎 取諸鼎勿炫以金占諸坎豈用以金
HVH_022_0045_0003	晉使後六軍之成季代跨八佾之舞 益要取乎十朋用僅具乎二
HVH_022_0045_0004	缶 趙孟歌匏葉之章而一獻六陳籩豆質不庯文也禋叔拜皇無
HVH_022_0045_0005	立什而五吾重切詰誡丈不離質也
HVH_022_0045_0006	以上數目門
HVH_022_0045_0007	采色
HVH_022_0045_0008	綦組錦繡女紅以害雕文刻鏤樸素雅名 素履自昭其坦白賁不離
HVH_022_0045_0009	以受 五緎素絲不為儉四牡赤芾不為華 祭以白牡葬用朱木
HVH_022_0045_0010	素以為絢白可受采
HVH_022_0045_0011	以上采色門
HVH_022_0045_0012	器具
HVH_022_0045_0013	玉纓瓊弁子玉何奢縷簠朱絃管仲非儉 大路越席毋漆粢几
HVH_022_0045_0014	龍岡
HVH_022_0045_0015	玉帛綉裳繁纓曲縣 爵桮土鼓刻梅毋楹 明水疏布燔黍捭
HVH_022_0045_0016	以上器具門
HVH_022_0045_0017	豚
HVH_022_0045_0018	平仲尚儉三不掩夫婦肩 宋文公
HVH_022_0045_0019	文已失夫兔豹鞹韎惟韐夫
HVH_022_0045_0020	動物
HVH_022_0045_0021	炳蔚呈虎豹之貌中字格豚魚之象
HVH_022_0045_0022	奢蓬原用夫蜃炭 蜉蝣刺奢蟋蟀刺儉
HVH_022_0045_0023	犬羊 鳥可配官童堪作服 記豹度以爲飾假鴻漸以爲儀
HVH_022_0045_0024	以上動物門
HVH_022_0045_0025	植物
HVH_022_0045_0026	園桃園棘山栲山榆 杞梓杞桑贈蘭贈藥 竹箭有筠松栢有心
HVH_022_0045_0027	宮室則金用以廉衣服則履用以葛禮樂則桴用夫賁飲食則樽用夫匏
HVH_022_0045_0028	以上植物門
