HVH_022_0051_0001	方位
HVH_022_0051_0002	履絲曳縞鼎食鍾鳴 守富原資予制節 憂貧終慨夫他離
HVH_022_0051_0003	仰崇高於鼎養 歎蕩析於離居 臨難毋免 豫防宜先 以上卦名門
HVH_022_0051_0004	牝門遇室人之謫 南山怨季女之譏 南宮載寶 北闕求金
HVH_022_0051_0005	東人杼柚 南國酒漿 以上方位門
HVH_022_0051_0006	數目
HVH_022_0051_0007	焜耀十駟之馬 荒涼一畝之宮 三后夷為庶人 百姓降為皂隸
HVH_022_0051_0008	百福備 百罹逢 以上數目門
HVH_022_0051_0009	器具
HVH_022_0051_0010	地乏立錐 室同懸磬 銖視軒冕 塵視金玉 野人與傀儡 衝境而
HVH_022_0051_0011	頻傷漂水 吹篪人 吳門而寄慨 簪纓望族 簞瓢家風 爭誇華
HVH_022_0051_0012	麓岡
HVH_022_0051_0013	穀之粢 孰惠綈袍之贈 懸車置圭 被莒蒙棘 季子不聞
HVH_022_0051_0014	藏金滅迹 仲何曾衣帛 捉襟見肘 綴履决踵 以上器具門
HVH_022_0051_0015	動物
HVH_022_0051_0016	竜之飛也 悔於亢竜之咥也 病於剛 鳥之巢也 惠於笑 羊之角也 羸於觸
HVH_022_0051_0017	豕莫宜 或蜜聚 何為 歎哀鴻 歌黃鳥 庶有芳乎 家惟魚矣
HVH_022_0051_0018	鳥啄我梁 鼠食我黍 爵弁三加 鶡衣百結 以上動物門
HVH_022_0051_0019	植物
HVH_022_0051_0020	拔榛出門 排草入室 席累重茵 食資丰粟 寂門戶於蓬桑
HVH_022_0051_0021	湔肝腸於藜藿 巖山中
HVH_022_0051_0022	犀或同蕉 茹聊資草 薺蒲河上 微 以上植物門
