HVH_022_0056_0001	剖藝精華二編卷之五王侯王侯部封建干支 申畫郊圻寅亮天地。
HVH_022_0056_0002	甲氏附西伯之班申伯獻崧高之頌丁壮盛甲兵强。
HVH_022_0056_0003	定春秋而子玉毋為楚戮不競而憂御而丑及見戮齊殽為墟。
HVH_022_0056_0004	魯作邱甲晉滅鐸辰。
HVH_022_0056_0005	甲因為民申亦称公。
HVH_022_0056_0006	受称甲士力盡子男。
HVH_022_0056_0007	德還新已天實生申。
HVH_022_0056_0008	以上干支門卦名 師占開國比象親賢。
HVH_022_0056_0009	晉錫康侯咸建五長。
HVH_022_0056_0010	井疆式闢鼎運龍岡 卷五 王侯 封建卦新 豊鎬是復晉鄭焉依。
HVH_022_0056_0011	賜以履問厥鼎。
HVH_022_0056_0012	以上卦名門方位 奄受北國式是南邦。
HVH_022_0056_0013	盟東夏秦伯西戎。
HVH_022_0056_0014	延夏祚於曹東守岳裔於河北。
HVH_022_0056_0015	附西伯之班者甲氏附東藩之末者顥叟。
HVH_022_0056_0016	命畢公保釐東郊命君陳尹兹東夏。
HVH_022_0056_0017	東樓世守南國循行。
HVH_022_0056_0018	曹伯守東藩穀伯守南服秦伯居西鄙。
HVH_022_0056_0019	翦鶉首而錫策遂收西封伏奄尾而成軍竟志東畧朕齊表東海晉啟南陽。
HVH_022_0056_0020	海北之封曹東之守。
HVH_022_0056_0021	賜岐西錫南土以上方位門数目 侯親者四十國酬庸者八百餘侯。
HVH_022_0056_0022	異姓廣桓贅者四百人同姓廷本
