HVH_022_0061_0001	植物
HVH_022_0061_0002	翳桑 靈輒 餽 槐 俎 蕘
HVH_022_0061_0003	周官 棫樸 殷相 盟楳
HVH_022_0061_0004	美義 造士 槐棘 之廷
HVH_022_0061_0005	山桑既見圃杞生憂
HVH_022_0061_0006	服官當日艾之年素餐致伐檀之誚
HVH_022_0061_0007	蚌生蒲圃
HVH_022_0061_0008	度協慈衡
HVH_022_0061_0009	治蒲善及於民未顚啟承於婦
HVH_022_0061_0010	以上植物門
HVH_022_0061_0011	雜組
HVH_022_0061_0012	鄭棟將崩魯楹唯去
HVH_022_0061_0013	季孫滅項仲逼入杞
HVH_022_0061_0014	既盟原帶礪山河遂錫
HVH_022_0061_0015	示子孫湜湜
HVH_022_0061_0016	石砧純臣董狐良史
HVH_022_0061_0017	子及為鄭之棟极孫為魯之牆
HVH_022_0061_0018	背脇
HVH_022_0061_0019	占夢叔服相人
HVH_022_0061_0020	醫有和緩史有趙墨
HVH_022_0061_0021	作朕股肱耳目敷予心腹
HVH_022_0061_0022	瘞厥官尸乃位
HVH_022_0061_0023	正日成正月要止去會
HVH_022_0061_0024	位應台輔訓凜夙愆
HVH_022_0061_0025	龍岡
HVH_022_0061_0026	以上雜組門
HVH_022_0061_0027	干支
HVH_022_0061_0028	丁文擧而為建武軍帥群蠻以啟申停擧而為建克令庶陳蔚以朝
HVH_022_0061_0029	祁奚擧祁午魏舒擧魏戊
HVH_022_0061_0030	戊也受縣舒不失人午也尉軍祁不為比
HVH_022_0061_0031	癸亥不陳師於商郊則鷹揚之太公終老於牛肆甲子不遇主於渭水則
HVH_022_0061_0032	從竜之膠鬲甘固於魚鹽
HVH_022_0061_0033	申伯素嘉声聞四國丁公世美八典周兵
HVH_022_0061_0034	卯午有尉軍之才梁丙亦諸侯之選
HVH_022_0061_0035	畢萬仕晉筮者幸廖仲奕仕楚
HVH_022_0061_0036	擧自申偦
HVH_022_0061_0037	用原惟已恭竭同寅
HVH_022_0061_0038	以上干支門
