HVH_023_0005_0001	天水遣行雷電交至 穿屋穿墳宜訴宜獄 精明如抉雷霆公私
HVH_023_0005_0002	不避風雨 而生斲棺子暫加木 足則獸交墓焚褚定 鄘胎有蜚
HVH_023_0005_0003	市之刑卻宛有炮尸之慘 執蕢守之間戮楊干之僕 陰慘萬陽
HVH_023_0005_0004	舒之用雷霆易雨露之權 强鉏不能衛夫子西施知掩其面
HVH_023_0005_0005	左右三莫奪陳生之契上也可也徒爭皇頡之周 湯囚夏臺文囚美
HVH_023_0005_0006	里
HVH_023_0005_0007	仕戾是熹鄘子用社 寒進魏舒囚問州犁 春溫秋肅
HVH_023_0005_0008	水懦火烈 以上雜組門
HVH_023_0005_0009	萬國 讀後
HVH_023_0005_0010	天文 日見沫而必折雪見睍而自消 為陰雨為飄風 正月霜繁十月日
HVH_023_0005_0011	食 以上天文門
HVH_023_0005_0012	干支 孔壬何畏枉己難成 華亥與向而伐右師穿成不旆而為陳公
HVH_023_0005_0013	殺孟丙且逐仲壬 以上干支門
HVH_023_0005_0014	卦名 心存此匪志在隨人 此匪堪傷史楊莫禦 咸其輔渙其群
HVH_023_0005_0015	畔由漸起恙可豫防 戒惕履霜畏同師度 與涖詭隨巽堪屈節 以上卦名門
HVH_023_0005_0016	方位 萋斐而成已成南 捷幡宜极之有圮
HVH_023_0005_0017	哭泣剝膚恥深革面 朋比為奸嚚訟何取 以上方位門
