HVH_023_0007_0001	干支
HVH_023_0007_0002	戊申卜宅新邑方營甲子用書庶殷丕作
HVH_023_0007_0003	甲午治兵壬午大閱庚申大詛
HVH_023_0007_0004	吉星占辰角民樂子來
HVH_023_0007_0005	子男被甲丁女轉輸
HVH_023_0007_0006	釋兵坐甲士鮮壯
HVH_023_0007_0007	心嗅酒呼庚人怙忒志
HVH_023_0007_0008	馬喪于林怨深子仲水流束楚怨起申疆
HVH_023_0007_0009	嚴寅畏於辰廷憂深甲士課辛勤於午陛力尽丁男
HVH_023_0007_0010	食城杞之人後設甲
HVH_023_0007_0011	子歌束薪之水共怨戊申
HVH_023_0007_0012	甲戌征徐或庚戌攻洛位
HVH_023_0007_0013	以上干支門
HVH_023_0007_0014	卦名
HVH_023_0007_0015	行邁而黍慨離之出征而石悲漸之師之筮也旅之鞫也以上卦名門
HVH_023_0007_0016	南國殷富勉以公義東山零
HVH_023_0007_0017	方位
HVH_023_0007_0018	肅之功載歌南國翠之服獨咏面人
HVH_023_0007_0019	雨恤以和情
HVH_023_0007_0020	城漕有南行之鼓吁天要北斗之漿
HVH_023_0007_0021	出役東山破斧折者三
HVH_023_0007_0022	龍閿
HVH_023_0007_0023	尊輿師以伐餕元戎者十乘
HVH_023_0007_0024	城嗣方之人為南仲憫及雪飛徂東山之人
HVH_023_0007_0025	已酉丙念深審取
HVH_023_0007_0026	皇駁東征元戎地伐
HVH_023_0007_0027	築南門而廢公命城西
HVH_023_0007_0028	鄙而惧齊人
HVH_023_0007_0029	以上方位門
HVH_023_0007_0030	数目
HVH_023_0007_0031	無失辛秋之四不害子時之三
HVH_023_0007_0032	城沂不愆於三旬
HVH_023_0007_0033	暨眷如傳諸九日
HVH_023_0007_0034	築臺者築囿者二
HVH_023_0007_0035	塞則縣陣夫四魯則都墮其三
HVH_023_0007_0036	四牡怀为百
HVH_023_0007_0037	堵皆作
HVH_023_0007_0038	以上数目門
HVH_023_0007_0039	采色
HVH_023_0007_0040	縮版宫中寫徽情於白馬執艾疆外絶愁緒於鱮魚
HVH_023_0007_0041	終朝采緑崔憐
HVH_023_0007_0042	悠曠之情人従草黃莫行他離之舌
HVH_023_0007_0043	澤門之智國文貴興我攸邑中之
