HVH_023_0011_0001	鳥 衡鹿守山舟鮫守水 鳩飯有法駿發康窮 急著俘矣奢華
HVH_023_0011_0002	太甚鹿且散矣貴贅偏哀 國醫宜狂婪身切裊齒主戚邱賤丫作立法一
HVH_023_0011_0003	興萬蚩尾之歌 征取無當宇豁道貪婪終逞其忝心 以上動物門
HVH_023_0011_0004	植物 設帶獻其材菁茅八其貞芑苴绝其賄樞榆卽其流 主术櫻木飛芻
HVH_023_0011_0005	輓栗 柰主駱救獻戎 宅檀桑床場供果蓏 書記嘉永宝吹
HVH_023_0011_0006	華黍 山樞刺儉伐檀刺貪 以上植物門
HVH_023_0011_0007	雜組 川原不能滿漏巵山海不能填谿壑 官山府海吏飽胥漁月要日
HVH_023_0011_0008	成春頌秋斂 以上雜組門
HVH_023_0011_0009	籠閘
HVH_023_0011_0010	禍亂上
HVH_023_0011_0011	干支 孔壬可畏伏甲難防 夏癸昏迷商辛暴虐 降災奠懲於辛卯
HVH_023_0011_0012	懷丙共怨夫戌甲 以上干支門
HVH_023_0011_0013	卦名 雉卜明夷災占無妄 衅由漸起患可豫防 戒惕宁霜之履心憂夫
HVH_023_0011_0014	黍㞢離 雉可蒙居可離 屯之動否之乱 如臨深如履薄
HVH_023_0011_0015	否極泰来剥極復至 以上卦名門
HVH_023_0011_0016	方位 東門刺鄭風南山刺庶民 北門事暗君西甸恊周道 北風雨雪南國殷
HVH_023_0011_0017	濡需 以上方位門
