HVH_023_0016_0001	庶民
HVH_023_0016_0002	制藝精華二編卷之七
HVH_023_0016_0003	庶民部
HVH_023_0016_0004	干支
HVH_023_0016_0005	保惠則德思祖甲毒痛則怨及帝辛 先王子惠恝庶辛勤 春酒臚歡
HVH_023_0016_0006	人遊戌社公堂介壽俗譜廣詩 子帰則躬親織紝丁男則力務耕耘
HVH_023_0016_0007	以上干支門
HVH_023_0016_0008	卦名
HVH_023_0016_0009	有恒性無遷心 和恒四表群萃一處 仰卑咸之法戒逑豫之風
HVH_023_0016_0010	占大离之景叶家之吉 比閭聚處井里同居 撫其困苦用以咸和
HVH_023_0016_0011	龍岡 卷七 庶民部
HVH_023_0016_0012	安鑿井之遺風樂居師之善政
HVH_023_0016_0013	以上卦名門 崇甘南國
HVH_023_0016_0014	方位
HVH_023_0016_0015	攸苦東山 瞻東方之日出朝課不恤辛勤聆北牖之月明
HVH_023_0016_0016	夜作復加丁力 以上方位門
HVH_023_0016_0017	采色
HVH_023_0016_0018	六禮節性七教興德八政防淫 馭以八統繫以九兩 斂民七族賑姓九宗
HVH_023_0016_0019	臨淄之民七萬共滕之民五萬千 十五國異其風十二州異其俗 以上數目門
HVH_023_0016_0020	萬邦黎獻四海蒼生
HVH_023_0016_0021	黎之変也堯典所以称俊德赤之保也康誥所以作新民
HVH_023_0016_0022	以上采色門
HVH_023_0016_0023	器具
HVH_023_0016_0024	擊桴大明之鼓吹響鄉飲之笙懸象魏之書徇道人之鐸
HVH_023_0016_0025	吹豳擊蜡鼓腹含
