HVH_023_0019_0001	抱甕灌園擊鼓祈雨
HVH_023_0019_0002	以上噐具門
HVH_023_0019_0003	動物 天駟未見之先農功早計土牛既出之後穡事爰興
HVH_023_0019_0004	禮陰蜡饗樂著籩
HVH_023_0019_0005	吹、 鳥不食穀鼠不食苗鵽不止桑扈不啄粟
HVH_023_0019_0006	豚蹄可祝食饗無
HVH_023_0019_0007	憂、 駢剛用牛赤緹用羊犓豯用豕輕嬰用犬
HVH_023_0019_0008	甌窶鼠食宜以
HVH_023_0019_0009	毓、書、 鴽化鳩鳴貓迎虎祭
HVH_023_0019_0010	原湿竜鱣井疆鴈齒
HVH_023_0019_0011	勸甿戒以歲安土功期諸耜見
HVH_023_0019_0012	庭瞻軀特之懸工餝鳩扈之令
HVH_023_0019_0013	鮮飽而戴牂羊歲
HVH_023_0019_0014	耨因摩蜃耕可扶犁
HVH_023_0019_0015	公室称兕朋酒烹羊
HVH_023_0019_0016	暮而歌蟋蟀
HVH_023_0019_0017	以上動物門
HVH_023_0019_0018	龍岡
HVH_023_0019_0019	植物 桐芭柳梯宜遵夏正之候菖藁吉花弗失農祥之候
HVH_023_0019_0020	有秕民耨荷杷枸杞栝
HVH_023_0019_0021	耘 黍生貉穀獻戒
HVH_023_0019_0022	是薿是茂載柞載芟
HVH_023_0019_0023	貼蒲望杏剏
HVH_023_0019_0024	桼葦葵 相華麥秀菜秀瓜生
HVH_023_0019_0025	香萏郁伯葭葦周原
HVH_023_0019_0026	草人掌土化薙氏掌役草
HVH_023_0019_0027	圃堪折柳園可樹桃
HVH_023_0019_0028	蓺黍而歌楚茨取
HVH_023_0019_0029	禾而沐伐栟
HVH_023_0019_0030	葛生蘞蔓茶苦薺甘
HVH_023_0019_0031	以上植物門
HVH_023_0019_0032	雜組 鳴鳥伺矣挈遍中田之雨恊風至矣鱅来我隨之雲
HVH_023_0019_0033	田家月令開國耡
HVH_023_0019_0034	夙 疎美以種帶徑而鋤
HVH_023_0019_0035	田豈峙石地豈不毛
HVH_023_0019_0036	暑雨祁寒同雲雪
HVH_023_0019_0037	雪 決渠降雨荷鍤成雲
HVH_023_0019_0038	以上雜組門
