HVH_023_0029_0001	義苟應健何必乾乃為馬爻苟合順何必坤乃為牛 乾竜銜天坤
HVH_023_0029_0002	馬行地 竜圖授羲龜書界似 坤為兕兕即為狐狼 兑之陽爻
HVH_023_0029_0003	穪虎 兑之陰爻稱豹 童牛之牿防其漸積承之才相其機 乾五龍
HVH_023_0029_0004	飛竜鱗當之革五虎度湯武當之 狐性疑觧去其疑鼠性貪音去其
HVH_023_0029_0005	貪 剥之貫魚柔以従剛始之它魚剛以制柔 信可格於豚魚人貪豈
HVH_023_0029_0006	鄙夫鼯鼠 凶則為龍之戰亨則為兔之履吝則為鹿之即吉則為鶴之鳴
HVH_023_0029_0007	豕員其塗羊觸其藩 鳥遺之音狐濡其尾 射雉亡矢即鹿
HVH_023_0029_0008	無虞 雉貴膏不食鴻漸為儀 狐獲其三馬亡其匹
HVH_023_0029_0009	龍岡
HVH_023_0029_0010	吉占錫馬凶卜判羊 以上動物門
HVH_023_0029_0011	植物 果之碩為小人做也梔之擊為君子謀也 巽之陽爻為木巽之陰爻
HVH_023_0029_0012	為草 屯為物之生彖為物之穪 蘭治其臭楊生其梯 乾為天
HVH_023_0029_0013	苞坤為地符 吉叶拔茅凶占伏莽 以上植物門
HVH_023_0029_0014	雜俎 先天立對待之體後天以流行之用 列貴賤存乎位齊小大存乎卦吉
HVH_023_0029_0015	凶存乎辭憂悔吝存乎介 剛柔立本度通隨辰 象者像也爻者效
HVH_023_0029_0016	也象者材也 存象詳則賤乎詩元賦止心術則蓄乎書之精一防情偽則
HVH_023_0029_0017	著乎禮之中和辨吉凶則合乎春秋之褒貶 彌綸宇宙酬酢神明
