HVH_023_0033_0001	臨漂
HVH_023_0033_0002	以上卦名門
HVH_023_0033_0003	方位
HVH_023_0033_0004	東門之墠刺奔之乱東門之池刺奔之狂東門之枌疾乱也東門之楊
HVH_023_0033_0005	刺時也 北門憂貧東山閔乱北山槩匡汝墳思孝終南民
HVH_023_0033_0006	美其君大東臣病於民北風刺虐南山刺淫南山刺𢽟民北山勞使
HVH_023_0033_0007	從事 信南山思禹功也節南山刺𢽟民也以上方位門
HVH_023_0033_0008	數目
HVH_023_0033_0009	文武之詩四十三闈雅開其始灃沛成康之詩六十一小毖厝其終諸侯十
HVH_023_0033_0010	有餘國風取十五西周二十二王雅存其二兔罝始寘六義絃詩三百曁
HVH_023_0033_0011	詩三百敬詩三百王業陳於七月雅頌亦繫以強王化始於二南周召實為
HVH_023_0033_0012	龍岡
HVH_023_0033_0013	台陜鹿鳴五義上眤下也天保九如臣答君也雅肄其二作業者官
HVH_023_0033_0014	其始善眸其五既宴者瓣其歌笙𥫡詩六篇列其目且没其詞商頌十二
HVH_023_0033_0015	篇閟其七僅存其五升歌三終間歌三終四牡劳匡六月出師二南用
HVH_023_0033_0016	於艸菴三頌用於郊廟小雅之材七十四人大雅之材二十一人三百篇備其
HVH_023_0033_0017	体十五國異其風衛傷二子秦害三良二月初吉日三星解館
HVH_023_0033_0018	以上數目門
HVH_023_0033_0019	器且
HVH_023_0033_0020	堂上樂皆受均於笙故小雅言鼓瑟則曰吹笙堂下樂皆受均於磬故商頌言管
HVH_023_0033_0021	聲則曰依磬擊鼓怨勞大車怨役褰褰裳求君抱布求女
