HVH_023_0047_0001	之琴，謡聞泙實，舞用桑林，問於其梓，極格極𢎔民，梧桐爲琴
HVH_023_0047_0002	截竹爲管，律調累黍，候應吹灰，笙歌華黍，曲譜倚簫
HVH_023_0047_0003	以上植物門
HVH_023_0047_0004	星雲糺縵，日月光華，白雲可昌，靈雷可通，林木可落，宮屬信，徵屬禮
HVH_023_0047_0005	角屬仁，高屬美，羽屬智，洋盈耳，渢後人
HVH_023_0047_0006	以上雜組門
HVH_023_0047_0007	春耕秋斂，秋獮春遊，春官奏日，太史占星
HVH_023_0047_0008	以上天文門
HVH_023_0047_0009	穆野奏帝，啟主樂，瑤池獻王母之觴
HVH_023_0047_0010	以上地輿門
HVH_023_0047_0011	甲子披圖，庚午差馬，駕先三良，禱先吉戊
HVH_023_0047_0012	以上干支門
HVH_023_0047_0013	藥言彈寇，臨旌下賁，奉三毋以履奈，兌九有以咸臨，震登振柔，升中祭吉，象取虯而輩華
HVH_023_0047_0014	毋逸德，毋游荒
HVH_023_0047_0015	以宰天子，乘竜以美，取晉而玉趾以臨，康侯錫馬
HVH_023_0047_0016	以上卦名門
HVH_023_0047_0017	翠華東幸，青蓋西巡，岳分南北，禮別東西，召伯循行，南國畢公保釐東郊
HVH_023_0047_0018	以上方位門
HVH_023_0047_0019	六飛揚王步之光，五輅叶鸞声之嵗
HVH_023_0047_0020	駕八駿而徧，鸞車之轍，望三川而帀
HVH_023_0047_0021	鼓湘水之鍾，四岳峙，巡九州而問俗
HVH_023_0047_0022	夏磬八駿，周御二竜，簫時備五華
