HVH_023_0058_0001	蟾爭門閿。
HVH_023_0058_0002	鄭賈將侵。
HVH_023_0058_0003	豕立人噫。
HVH_023_0058_0004	彭生敢見。
HVH_023_0058_0005	鳥鳴亳社。
HVH_023_0058_0006	鼇棊夏庭翰神在華。
HVH_023_0058_0007	駾神在丙。
HVH_023_0058_0008	多麋有蛘。
HVH_023_0058_0009	蚕羽螾生。
HVH_023_0058_0010	牛之生也。
HVH_023_0058_0011	应于冀。
HVH_023_0058_0012	能之祝也佞於神。
HVH_023_0058_0013	鳥夾於日。
HVH_023_0058_0014	竜見於郊。
HVH_023_0058_0015	将祭於日。
HVH_023_0058_0016	北來雛雉。
HVH_023_0058_0017	之飛得請於天妖。
HVH_023_0058_0018	殘蠶狐之獲。
HVH_023_0058_0019	牛傷其角。
HVH_023_0058_0020	雞司其晨。
HVH_023_0058_0021	水化螺。
HVH_023_0058_0022	女大哭。
HVH_023_0058_0023	雉門罔象賴羊。
HVH_023_0058_0024	怪雉辨奚。
HVH_023_0058_0025	譫声唐狀。
HVH_023_0058_0026	鬼其餒而。
HVH_023_0058_0027	鳥止爰居。
HVH_023_0058_0028	祀来丈仲。
HVH_023_0058_0029	牛聞絳野柩出之公　以上動物門【植物】茅野之神。
HVH_023_0058_0030	賜以田華。
HVH_023_0058_0031	林之客。
HVH_023_0058_0032	見於卜。
HVH_023_0058_0033	秋要禾麥。
HVH_023_0058_0034	冬實李梅。
HVH_023_0058_0035	輿之聞徵鄭。
HVH_023_0058_0036	穆之祥。
HVH_023_0058_0037	法草報魏。
HVH_023_0058_0038	類之德。
HVH_023_0058_0039	木生於雨。
HVH_023_0058_0040	菽殺於霜。
HVH_023_0058_0041	佯之寶乾𨳩芝可辨。
HVH_023_0058_0042	衣之帛也。
HVH_023_0058_0043	無辜。
HVH_023_0058_0044	鄧林杖化。
HVH_023_0058_0045	魏榆石生。
HVH_023_0058_0046	以上植物門【雜俎】晉文得天。
HVH_023_0058_0047	伏監其腦。
HVH_023_0058_0048	呂錡射月。
HVH_023_0058_0049	退入於泥。
HVH_023_0058_0050	河為崇。
HVH_023_0058_0051	汾有神以上雜俎門
