HVH_023_0068_0001	兩衣無六七
HVH_023_0068_0002	獻子請冠已與其兩子皆敵佩弗與其一
HVH_023_0068_0003	以上數目門
HVH_023_0068_0004	采色 綠衣豪白鞹衣象黃、
HVH_023_0068_0005	綠藻燿文明之敷朱伝示燠乎之葉
HVH_023_0068_0006	天子朱組諸侯丹纓、
HVH_023_0068_0007	卜元吉于黃裳占無咎于白賁、
HVH_023_0068_0008	侯衣朱裸士
HVH_023_0068_0009	服青衿
HVH_023_0068_0010	狸衣青兒衣黃熊衣赤
HVH_023_0068_0011	緇羔衣玄素麑衣黃狐衣
HVH_023_0068_0012	朱禔朱績素韡素冠
HVH_023_0068_0013	楚子玉翠被渾、良夫紫衣、
HVH_023_0068_0014	青綯赤德素服
HVH_023_0068_0015	黃冠
HVH_023_0068_0016	伐叛而勞赤舄好賢而職緇衣
HVH_023_0068_0017	山竜青華跂黃、
HVH_023_0068_0018	大夫赤黻
HVH_023_0068_0019	公子朱陽
HVH_023_0068_0020	占朱黻佩素絲
HVH_023_0068_0021	以上采色門
HVH_023_0068_0022	龍岡
HVH_023_0068_0023	器且 景公侈玉洵之華子玉有瓊弁之飾
HVH_023_0068_0024	玉瑱凝聰玎國之衣冠畢集
HVH_023_0068_0025	珠流蔽目四方之筐篚来同
HVH_023_0068_0026	鄙人墵笠庶子琇莹
HVH_023_0068_0027	以上器具門
HVH_023_0068_0028	動物 雉鵂請其不禋鵀儀其不表
HVH_023_0068_0029	后妃獻繭妾子始蠶
HVH_023_0068_0030	騏弁想叔
HVH_023_0068_0031	人之儀辟弁表士冠之禮、
HVH_023_0068_0032	國君冠以黑犬夫飾以狗、
HVH_023_0068_0033	羔裘豹飾緇服難
HVH_023_0068_0034	冠 豕已叩屨馬已裏帷
HVH_023_0068_0035	斐冕玉豹飾衛大夫狐裘
HVH_023_0068_0036	玉爵請帶
HVH_023_0068_0037	衛屨織絢
HVH_023_0068_0038	剌悖遊美羔羊
HVH_023_0068_0039	衣若鶉懸非候沐
HVH_023_0068_0040	獻板狸于公子
HVH_023_0068_0041	衣熊羆以舟人
HVH_023_0068_0042	虞帝縻衣楚王豹飾
HVH_023_0068_0043	公子屨服諸侯竜章
HVH_023_0068_0044	雀弁嫂裳狼皮狐服
HVH_023_0068_0045	楚人鵲冠以示憂晏子狐裘以示儉
HVH_023_0068_0046	黼黻興魚大龍
