HVH_023_0069_0001	而並繪布給僧黃鳥以興歌 佩象擿服鵽衣 麇裘興諺狐裘貽染
HVH_023_0069_0002	襪 以上動物門
HVH_023_0069_0003	佩韘而詠芄蘭 取屨而來檮杌 衡飾以葱玉重其藻 萋子營屨翹
HVH_023_0069_0004	夙葛履 戒整冠於李下 詠為俗于葛覃 以上植物門
HVH_023_0069_0005	巿袚婆娑 執觶凍餒之耻 冬勤彷彿 誰能憐織女之真
HVH_023_0069_0006	黃帝作帶 堯帝作佩 伏羲作蠶桑 神農為布帛
HVH_023_0069_0007	衛文大帛 宋玉無顏
HVH_023_0069_0008	季子札贈縞 樂桓子請帶 庶衣如雪 會弁如星 衛文布衣而主國 晉襄
HVH_023_0069_0009	墨絰以興戎 帛可裂以與桓子 祛可斬而出文公 戲朝衰憂心之相與
HVH_023_0069_0010	龍闈
HVH_023_0069_0011	人取崔子之冠 衣冠尹吉甫 臺室都人 銘諸帶 書諸紳 衣有繪 帶有
HVH_023_0069_0012	結 以上雜組門
HVH_023_0069_0013	飲食
HVH_023_0069_0014	干支
HVH_023_0069_0015	午晉觴於曲沃 及父飲 取華泉 酒之言酉 味亦取辛 登山而呼 庚癸則諾
HVH_023_0069_0016	及庚不食 丙申終亡 華元憂飢而餉公 失庚家歸 私以食叔孫 以上干支門
HVH_023_0069_0017	卦名
HVH_023_0069_0018	不知節也 必有訟焉 繫屨維旅 簋飧有旡 困於酒食 需於酒食
HVH_023_0069_0019	供鼎烹於廊廟 與俎養於家庭 染指於鼎 拂我以頤 乾餱失德 鼎顛趾
