HVH_024_0030_0001	他回罪呈詳其人驚惧首服其罪引至鷄毛火畢疑公令信賴鷄茂無傷病去而又百日行
HVH_024_0030_0002	至山園縣司等元有一尼叫失绫繒就令設法令群尼就喧所每尼一手把長幡一手藏粟粒而
HVH_024_0030_0003	繞境内報曰某人粟粒生芽公見中有一尼常常微閃着公挈来令招首罪其尼惧服也循
HVH_024_0030_0004	裾果然一日本鎮有盗人夜间往逕祭大王祠祈祷保許盗后得重物願置行礼此夜果盗得一
HVH_024_0030_0005	繡衣夜掛於神像上明日失物主人往尋過其祠見绣衣挂於神位寔己物意謂神能容奸往鎮訴
HVH_024_0030_0006	告公即詣祠迎神位供之堂问曰大王神住一郷匡扶戢防一寰何人奸盗可容之耶大王明
HVH_024_0030_0007	吾始言此衣何処来不知之半頃立果見盗人拕手而至首服其罪願还他财物如故公其明智通
HVH_024_0030_0008	人參奸摘伏如神類如此故嶺南人稱為山西德政鎔以祀之公明於清理问訟如神其後復通朝廷
HVH_024_0030_0009	祠庭入於鄭王發狂言鞭逼鄭王制公乱治朝惜哉 批評意謂此大王神同此等自造人之事也 按公卒後其子瑱真名有光少適
HVH_024_0030_0010	唐豪慕澤村人号有功德因以他故卒退歸開興起兵自称明主吩公軍士結竹為戦場形如蓋者昔雄勇依
HVH_024_0030_0011	動兵師尝世俗号賊旄至美朝廷令將討伐之奪其四地八官後許回民改為神祠形故伊社冬是公伊列八公
HVH_024_0030_0012	社建祠於伊社市祀公為先賢 相傳俗号聯幹今公祠現在樹木蒼翠敷本朝朝廷封中等神
HVH_024_0030_0013	科阀相承奕世文章滎池名邑有三陳户曹礼院参天聯相即我載重一身衣錦双旋人世罕同
HVH_024_0030_0014	雙耀聖人啟五世嗣是貽謀子孫敬承爰見先君勒功已在吾皇典始得歸甘逸老
HVH_024_0030_0015	賢真是父子標一世勲名風節在人间
HVH_024_0030_0016	陳壽公乃籍滎池世号府君先迁於唐豪慕澤景治六年戊申科三甲進士仕至光禄大夫
HVH_024_0030_0017	光禄寺卿累爵安都侯特進金紫榮禄大夫户部左侍郎芳池侯賜謚忠謹
