HVH_024_0031_0001	陳璟 公乃陳璹之子於永盛十四年戊戌科三甲進士仕至刑部進金榮祿大夫參從礼部尚書
HVH_024_0031_0002	八侍従延致仕起復耀郡公封贈少保賜謚忠雅 壽七十五歳公生下各陳璡
HVH_024_0031_0003	陳璡 乃陳璹之子陳璹三所娶於景興九年戊辰科三甲進士仕至封藩朝列大夫翰林院侍演清化等股使御史
HVH_024_0031_0004	臺署副都御史如贈特進金紫榮祿大夫工部左侍郎策莚伯賜謚忠諒 年六十二歳中傷貞二子至至十三甲進士
HVH_024_0031_0005	案家侍三陳璟公幻時諱莚及長諱璟小字董莚於正和五年甲子十月十四日辰時生乃陳璹公正室
HVH_024_0031_0006	夫人陳氏所生長兄儒生早世遂易公希長公年十七歳失怙亟劬于冬共弟七舅庭冬京師咸同其
HVH_024_0031_0007	答會習宦尚如抜席上行文出機 都民賀慶舜郞天才往 順以 天字 弄小暖一題心裏香为庚公诗云
HVH_024_0031_0008	破句 幾載神龍濯在淵一朝喜見便飛天 天外自存希論句 蒲地放親紅日出神京快紫雲纒 觀
HVH_024_0031_0009	結句 重老元叶将何祝額致封人祝帝前
HVH_024_0031_0010	考官大加祈冀年二十二歲於永盛元年十月試中三
HVH_024_0031_0011	傷永盛八年十月試中鄉貢第二名其父春俱優項内瀉官失其較定置三第二永盛十四年春月
HVH_024_0031_0012	会試中第四七名庭試及宜正榜黄甲以失敬不叶格或後依前次公居仕辰重厚老成不拘流俗
HVH_024_0031_0013	敬守或父年不調及得外仕盗賊繁多奉領平寇大将軍旗平我大将軍印一金厘剣千里饒管
HVH_024_0031_0014	百戰同旬所向克敵近年二十五歳公以年老乞休小于陳珽登科凖領父子同日旋星當世宗之奉
HVH_024_0031_0015	叙新旗対確有云 継世登科從昔有 兩宗同日在含帝 又有朝堂陪文質誥一服垂行于世至景興十九年戊寅歳六月
HVH_024_0031_0016	初五日甲時公薨壽終于家年七十五交賜奔文後副都御史陳璉卒特亡画煽乱其子乃青開縣知
HVH_024_0031_0017	縣陳珽歷吏部員外郎陳璸今共縣中多士绊平亭長起兵于挹山城特囿粮囷李男
HVH_024_0031_0018	寡耨敵腦迸林泉不免偽儐壬戌年 皇朝 統嗣 嘉隆 啟運籍田前黎忠美之士則陳珽已沒詔被賜
HVH_024_0031_0019	陳璸为端雄府知府奉令蒞戰繞数月旬以年老乞休帰河時北城総鎮公提奏準放公仍知府
