HVH_024_0039_0001	集註 菓蓏
HVH_024_0039_0002	梨巴栗密諸菓大鉢社有山茱大如半味如香 抛山社多産油菓俗号油原郷人対採作油原津北
HVH_024_0039_0003	江産有小蚌名蜚春暮有之取得婧煠味最清好前朝有以進者餘如大角蛤蚌蜞螄之
HVH_024_0039_0004	類小小尋常不須數與述 右 至是事跡終畢
HVH_024_0039_0005	游鳳凰寺石碑詩云
HVH_024_0039_0006	至灵山水一臺天想象先生卜築年猷媚鳳麟幽可景争奇竜虎付寒煙極秋鮮翠風霜老
HVH_024_0039_0007	特地豐碑日月悲標表即今堪萬古高山在望正颾然
HVH_024_0039_0008	七載功成便躳耕冠白雲深処便登極童帰鮮為蒼生雨對德犹能聒鬼魅寒窓抱巖笑誰復撥
HVH_024_0039_0009	月明清桂幾戔南富年撫巻疊怊抱又更逢心塊仰鎖
HVH_024_0039_0010	鳳凰山上住雲闲𢙢隠高風在世间七載章成犹便掛四書説約鑿渠參千年遺址依孤嵿
HVH_024_0039_0011	数尺豊碑天莫■可惜世间多偽隠草堂留否動移文
HVH_024_0039_0012	鳳凰帰去碧烟深遠韻清風直到令人慮作儒林重千載能后石尋七載無詩在囡諦
HVH_024_0039_0013	孤雲雖遠自甘心山水豈公真此樂生平襟抱寄餘岑
HVH_024_0039_0014	師儒去後三百年古墅依々此地傳標棟民彝存一統津梁正學有遺編文章也且兼勳業
HVH_024_0039_0015	豪真能做聖賢員山斗即今公望在未應鹿洞付寒煙
HVH_024_0039_0016	千秋麟鳳只遠迨蒼宇橦襟有許思氣数盛衰難自主聖賢心事動相違寒溪草翠何年樂
HVH_024_0039_0017	木依山嶺自古悲日暮倍々回首望山嶺雲客思若俱逸
