HVH_024_0046_0001	弘定十一年庚戌科進士 仕至憲察使 阮文森 安住社
HVH_024_0046_0002	弘定十一年庚戌科進士 仕至翰林院檢討 范珪 仁里社
HVH_024_0046_0003	弘定十一年庚戌科進士 仕至參政使 黃公縉 育治社
HVH_024_0046_0004	癸丑科進士 仕至憲察使 阮碕 爻舍社
HVH_024_0046_0005	癸丑科進士 仕至太僕寺卿南昌子 鄧時敏 安集社
HVH_024_0046_0006	永盛十一年乙亥科進士 仕至寺卿 范炳慶 豐內社
HVH_024_0046_0007	永盛十一年乙亥科進士 仕至翰林校討 阮仁大 上答社
HVH_024_0046_0008	永盛十一年乙亥科進士 阮文信 汪下社
HVH_024_0046_0009	永盛十一年乙亥科進士 阮蕙 上答社
HVH_024_0046_0010	辛丑科進士 会元黄甲 仕至參政使 陳嘉檡 𤏸山社
HVH_024_0046_0011	盛德四年丙戌科進士 仕至監察御史 吳庭均 上答社
HVH_024_0046_0012	盛德四年丙戌科進士 仕至監察御史 范久俊 伍里社
HVH_024_0046_0013	盛德四年丙戌科進士 仕至憲察使 阮春榕 桐溪社
HVH_024_0046_0014	盛德四年丙戌科進士 仕至侍郎致仕贈尚書 阮派 育治社
HVH_024_0046_0015	丙辰科進士 仕至都御史奉使贈尚書 阮董 桐溪社
HVH_024_0046_0016	正和乙丑科進士 仕至侍郎奉使贈尚書 阮令俊 青林社
HVH_024_0046_0017	永盛戊戌科進士
HVH_024_0046_0018	慢黃檜濕冱且剔最
HVH_024_0046_0019	洶想科華湯群擁眾
HVH_024_0046_0020	仰雨忽眺碪遠𢢲𢢲
HVH_024_0046_0021	挺鑾颺繞滑前修
HVH_024_0046_0022	莭勉旁卒自免供踐
HVH_024_0046_0023	奉誠市社行
HVH_024_0046_0024	難仲莫緬偶造接運
HVH_024_0046_0025	術流洞以彈後輩
HVH_024_0046_0026	擊槐輅闐无礙
HVH_024_0046_0027	市厄頭村
HVH_024_0046_0028	棧杏斟樽为人慰
HVH_024_0046_0029	为社会
HVH_024_0046_0030	径集福宝流離瘵
HVH_024_0046_0031	難班難功
HVH_024_0046_0032	塘營生洵隈帡幪
HVH_024_0046_0033	誓例楚媯
HVH_024_0046_0034	揩首非返分伴名龍
HVH_024_0046_0035	合頼和詩讚報
HVH_024_0046_0036	自迨教悔甚無慍
HVH_024_0046_0037	庚會欺拱名物瑰光
