HVH_024_0053_0001	安宏社黃甲憲察使鄧美 范琮 辛巳年二月初九日未時生 年三十一歲中敷佐危燦
HVH_024_0053_0002	武鼎社翰林 武克牲 乙酉年三月二十八日未時生 年二十九歲中 或作允牲
HVH_024_0053_0003	汪下社翰林院侍制頒謄信 范廣孝 辛未年七月二十一日未時生 年四十中榜尾 従宣傳部
HVH_024_0053_0004	洪德癸丑科牓甲八名 本榜此科中第三極盛
HVH_024_0053_0005	曼内社三元狀元預驂法奉使工部尚書 武煬 己丑年三月十七日酉時生 世稱三元及第奉使乃公也
HVH_024_0053_0006	葉樂社榜花東閣大學士 黎懿 丙戌年生二十八歲中 魏三弟子弟同朝相克之祝祖 是科許題進父八極源職官一杜相中一書讀一百二十六
HVH_024_0053_0007	開山社黃甲吏部左侍郎贈禮部尚書鄧美
HVH_024_0053_0008	陳戩 乙丑年十月初七日軒后生 年四十中 甚守凍糧 三世至中及科 姜八翰林 榮敬之弟 蔭宦之祖 康春榜 禹祖
HVH_024_0053_0009	仁里社黃甲預驂法 阮院 己亥年五月二十日申時生 年三十九中 其弟阮睨同年中是科 是特上嫌五叛反目不食少而不起臨崩不與獘棺
HVH_024_0053_0010	桐溪社錦衣衛正親事 阮文廣 丁丑年二月初三日未時生 年三十七歲中 耆穆之五代祖也
HVH_024_0053_0011	釜山社賁青咸縣大夫社巫政使 阮正卿 賸年生 或侍即
HVH_024_0053_0012	仁里社會元參政奉使 范澤 庚子年八月十四日戌時生 年二十四歲中 伯美之孫 與在之伯 矣明之祖 友俊之曾祖
HVH_024_0053_0013	桐溪社崇文館司訓 陳詳
HVH_024_0053_0014	洪德丙辰科牓三十名
HVH_024_0053_0015	安逸社榜花東閣大學士致仕 丁濬 己亥年三月二十七日午時生 年十八歲中 至武芸精道充着行越長至尊征咢厥凱止公請季逃 顧治仰舟前帝及大臣以為怪異不許公再三呈請乞退幾致帝旁壽市如娵乃許 之行得百效因奏帝壽與舜奇奇再打得十級乃放弓止常樂勉源愧辟屋哼紫巌麦田三百外
