HVH_024_0062_0001	搜拾古人文章詩歌漢字國音以示其傳煙濤雲帆処々通。
HVH_024_0062_0002	飄然舟似八虚空。
HVH_024_0062_0003	王杯濃醲迎初旦。
HVH_024_0062_0004	金管徐吟曲未終。
HVH_024_0062_0005	黄英纈林葉有葉碧瑞漓水浄無風。
HVH_024_0062_0006	幽旗彩鷺翻翻白。
HVH_024_0062_0007	碧鼓跳魚撥剌红。
HVH_024_0062_0008	洞雪塵多松偃棄。
HVH_024_0062_0009	岩泉滴久石玲瓏。
HVH_024_0062_0010	未為故事禹湖上。
HVH_024_0062_0011	冷伴新詩寄柝東。
HVH_024_0062_0012	(未見其書题)軍濟威容従道臥。
HVH_024_0062_0013	江山氣色定知同。
HVH_024_0062_0014	報君一事應是悞。
HVH_024_0062_0015	漫立宿澄波皎月中。
HVH_024_0062_0016	禧飮軽重参基圖。
HVH_024_0062_0017	紅梗江山美椰蒲。
HVH_024_0062_0018	溪疾色停傷遂越。
HVH_024_0062_0019	陣其衣底硯城吴。
HVH_024_0062_0020	得度秋讎琴娵妊。
HVH_024_0062_0021	仙吏球瓊机妙姑。
HVH_024_0062_0022	越討功(吴訝鼎能是付貼詩四旬) (古深回施) (詩辭群賢消撤玉。
HVH_024_0062_0023	代世桑蓬指青青。
HVH_024_0062_0024	唯溪色霽香秋若。
HVH_024_0062_0025	難生命沼瀝省笛音。
HVH_024_0062_0026	禁溪失舊肝鼎器水流芳。
HVH_024_0062_0027	暢幅須自沿波清目。
HVH_024_0062_0028	長南鄙怨。
HVH_024_0062_0029	傷抱詞。
HVH_024_0062_0030	)淝造捺々客膓红。
HVH_024_0062_0031	唯誄梗博文蔽渰。
HVH_024_0062_0032	决掩射鞍田愚活。
HVH_024_0062_0033	誓介匹軍者饋缺。
HVH_024_0062_0034	游渚英堆麦坦北。
HVH_024_0062_0035	拂填娘 (右泳姿敬)子霽卷東破散企。
HVH_024_0062_0036	深城燕定璣訛。
HVH_024_0062_0037	青芸色悠境。
HVH_024_0062_0038	(有意此此激此傷)問蹔机按足梗惜。
HVH_024_0062_0039	次恣誓説奈翁静。
HVH_024_0062_0040	斂饋格底凭闺阃。
HVH_024_0062_0041	耜耜楊滢眼戟争。
HVH_024_0062_0042	拂荒黄旗根負臕。
HVH_024_0062_0043	驕頭白。
HVH_024_0062_0044	眾觸同兵星柘托。
HVH_024_0062_0045	鞍姬碢坦獣瀝薇滝餘不少。
HVH_024_0062_0046	(右泳姿趟姬)芙蕖花資灶縐红。
HVH_024_0062_0047	葉秳封蔭恒皇宣。
HVH_024_0062_0048	容唇国色迎城北。
HVH_024_0062_0049	凝省天才勸啓東。
HVH_024_0062_0050	造化怙愄添潦欻。
HVH_024_0062_0051	江山梗碍堪甘憙。
HVH_024_0062_0052	(哈胡架漢博空管名节新状滑刻請) (右泳器君)吉山又濔櫻洗輸。
HVH_024_0062_0053	荒岗雑読省创薇。
HVH_024_0062_0054	何刧莫是咳消娱。
HVH_024_0062_0055	余座香熳更是窕。
HVH_024_0062_0056	勲朝器冲穗薄得。
HVH_024_0062_0057	俵嗔凝山嗤唫等。
HVH_024_0062_0058	(尾景神仙坪碥腧春式秋夹痼空门) (右泳加铺主)排賦初國民政格准新 合用方言俗語 貼前黄甲阮尚賢撰 英槍謖。
HVH_024_0062_0059	英槍謖。
HVH_024_0062_0060	歎云奇世。
HVH_024_0062_0061	櫚櫚梳蚤。
HVH_024_0062_0062	忙先趂鐘。
HVH_024_0062_0063	呻余安得。
HVH_024_0062_0064	侍競争洙。
HVH_024_0062_0065	潮泣環珠。
HVH_024_0062_0066	得惆怒似。
HVH_024_0062_0067	伺箕空挨。
HVH_024_0062_0068	癯免轄受。
HVH_024_0062_0069	湟聽艾疾。
HVH_024_0062_0070	僱交涉。
HVH_024_0062_0071	闾芒逮大陸。
HVH_024_0062_0072	坤地移咬。
HVH_024_0062_0073	拱蔑膝。
HVH_024_0062_0074	膍辰引。
HVH_024_0062_0075	停民特。
HVH_024_0062_0076	貼民類。
HVH_024_0062_0077	(彈据彩色黄。
HVH_024_0062_0078	色臯色襯色異。
HVH_024_0062_0079	瑰帝)蒂胭魂主主。
HVH_024_0062_0080	腰慎意。
HVH_024_0062_0081	無畾複悴。
HVH_024_0062_0082	圮切。
HVH_024_0062_0083	按楚兰。
HVH_024_0062_0084	学兰学其。
HVH_024_0062_0085	兰奔兰侶。
HVH_024_0062_0086	貼英芙桋。
HVH_024_0062_0087	貼娘抹脚空。
HVH_024_0062_0088	對翶底緬乖。
HVH_024_0062_0089	庇凶妹烷巧。
HVH_024_0062_0090	得當加。
HVH_024_0062_0091	防都争、岑兜相。
HVH_024_0062_0092	糲荒。
HVH_024_0062_0093	貼産卡。
HVH_024_0062_0094	藝、煖、親、辱。
HVH_024_0062_0095	淩陶。
HVH_024_0062_0096	絰、檢、槁、支、栳、覯、在、仍、黕、心、悲、徐、淘、詛、裹、台。
HVH_024_0062_0097	歪関。
HVH_024_0062_0098	踞、干、迷、秩、省、酺、咭、冠、色、悾、戈、朱。
HVH_024_0062_0099	(蜂貼能。
HVH_024_0062_0100	伎内覿。
HVH_024_0062_0101	能盡精神。
HVH_024_0062_0102	侍将。
HVH_024_0062_0103	買、腿、屨、癯、痺、如、翁、祠、趴、擬、脆、朝、褪、考。
HVH_024_0062_0104	)
