HVH_024_0068_0001	睿慮宸猷之所留念，共批改大臣庶堂之所商量，器經綸參釐，諒無以過，又何待於言哉。
HVH_024_0068_0002	狃慮夫恣意之未悉，達剗失之未步。
HVH_024_0068_0003	得聞激起宸衷，丁寧天聽，中外臣庶，宿慙敷陳無德，其清問下民，詢于芻蕘，而帝者之用心也。
HVH_024_0068_0004	敢臣等術進踈見，誠淺陋愚，以上揆淵衷，敬陳蒭言，啟畢，叩承 聖諭，捧讀再三，憂德化之方成，喜言終之不壅，敢不俯瀝愚衷，略陳廣見，庶聖其千慮之一得之耳。
HVH_024_0068_0005	臣竊惟天灾流行，國家代有，而恐懼修省，聖人敬天，亦人事之修。
HVH_024_0068_0006	故九年之水，堯以國政致憂，惟以安民為難，不怠不劇，儆于之念。
HVH_024_0068_0007	七年之旱，未必人事之所召，惟以民命為重，不分不移深己之憂。
HVH_024_0068_0008	自古帝王，遇灾知懼，惟天事之當，而不敢以己之責而自寬也。
HVH_024_0068_0009	然顧灾之道，固常以修，勿以移天而格之，實不必求天於天，惟微之致，愛民而已。
HVH_024_0068_0010	蓋天之視自卽民之視，而天人一理，通達無間，惟臨監匪遙，夫意存敬畏，則斐然則安民之事，斯格天之三大題目也。
HVH_024_0068_0011	伏思皇上自王府之所需，用以至公侯郡王勳戚，及列于庶位者，凡百執事，優給諸衙者，豐嗇取與之制，一無缺曠，皂隸之役，什首縫工之微，官婢之賤，日所衣食，皆取諸民者也。
HVH_024_0068_0012	宜妥之而不擾，撫之而不傷。
HVH_024_0068_0013	矧茲新民舊瘵，百姓殫耗，莫不襁其子，如牧羊而豐其草，則民力可復，庶免怨其不能供。
HVH_024_0068_0014	况財已竭而求索者無窮，民已困而征求者不已，安得措身于是乎？
HVH_024_0068_0015	聞諸司馬光之言曰：天地生財，貨只有限，此數不在官，則在民，則貨泉非上方之可專，而生民日用之不可無也。
HVH_024_0068_0016	今以民言之，固非有大便宜，可以急於目前之困革，而其苛擾之政，嵗廣年滋，彫瘁之民，日削月朘，賦不下完，情不上通，種種弊端，固難編擧。
HVH_024_0068_0017	姑舉其大略而推類以例其餘。
HVH_024_0068_0018	蓋自癸巳年以後，朝廷一旦興作，本欲為一代正大之規，而有司之所奉行，又轉而為殘民之術，改修戶籍，設輕重之適平也，然設為魁，科惟視夫貨賄之有無，剝削增竭，同所增白，而減平者，豈已徇平之澤。
HVH_024_0068_0019	責及賦色，懲倖濫之苟免也。
HVH_024_0068_0020	然彼饒富之戶，免銀錢之憂，貧則彼餉者所不考
