HVH_024_0076_0001	其後也英雄亦尽會龍雲魚水緑醅朕塵埃侯埃褐列埃、辰已至人皆物色。
HVH_024_0076_0002	穷達一生天已定理、竒長富不長貧。
HVH_024_0076_0003	諺曰伊是何人。
HVH_024_0076_0004	届生遇然耕莘釣渭。
HVH_024_0076_0005	詠天下同佳嘘去処。
HVH_024_0076_0006	勒衛朱随美居仲。
HVH_024_0076_0007	英雄致主澤良。
HVH_024_0076_0008	英雄奪冬世事多以賢、害弄輪醒俄似怪其、親辱荣于古列辟燭惛慮智行道機出処長㝷斯称此風、每素茢叟偷戢牛、吟逸静典朕泊頼胎㸃然莫信唱澴虗、天地機檻人莫會、姑将情性寓琴歌。
HVH_024_0076_0009	居埃遐噤睨这街親、同宇宙禧臺無幻奇、衰返暇外駿羽願、避未、同淆毅湼寔殫、埃溪嘉寤痛眊。
HVH_024_0076_0010	昔年中秋月、今年中秋人。
HVH_024_0076_0011	法㝎覚之想浸良景徽遥廻愛伝燋聴。
HVH_024_0076_0012	今夜月、関人久望、不知秋思在誰家。
HVH_024_0076_0013	蓮将恨砕顚支氒。
HVH_024_0076_0014	茹邦仙歳掲印致叟尊、色列聖君迯劉朱安、每交辞足胸湲添。
HVH_024_0076_0015	秋意宜溪司茶国臈国烟衙。
HVH_024_0076_0016	登坰画中秋着許、剿歴事皆宵得益字、客風情懽兪精叙音情借此股急辞。
HVH_024_0076_0017	几令人雅残而已。
HVH_024_0076_0018	驟茂消壮士供顧孤、歴坤補柁居、親諫、周沛冶合他刘昂緜算未世事金却語、説到人剣致鶏準扛台仍輓才㤽、派柃敷然噐形、守虜、新殯疑耒、吏周弦不仁、鑿奴皇応聴、将和意渧喋喋與不仁号造物、鱼生墨史限相醉、計之絶繊、乾後載舾、酒将既萬舨新解、世企翫而良仍利召采香、哰渧生停檕、収悲歓想典散花此賤枝、景既意筆神伸墨、掎搜物理頌行奥、何用浮冶佯此身、衡才仁麻吏至仁、限魂職底整、廻和奇行、勇特宅、浘毋乃帝、世埃噪、廻和編銃、美解足聀春文。
HVH_024_0076_0019	庄流怡魏昩哢世群塵、埃裰縉桷公候吃啣出、浘喧椀来蔓蔓帶緌、嗘嘿步、灑虢自身保邦家、终有用天生吾傑不应愚、笑行惫眷怯怒尤、特生実無意愛化、催抱制分通旡奇奇、想停桅行釋臾向云。
HVH_024_0076_0020	欣翫吟文待時。
HVH_024_0076_0021	妾弦、妄殳泊頃、候喂貧、印封侯而立。
HVH_024_0076_0022	子蓀蓬觔矢男兒債、巧功石異禹嬪客、殲例台雅冠君親道、両子否医兜、园簦栱拉田、囷恊墅味、羃湲親、啐枕身世保。
HVH_024_0076_0023	柔蓬耦、等硯冠、役創局記訪辨、君老根、國箱頼、碾湲为民吞、浘嶽征綸。
HVH_024_0076_0024	自饗底、新報。
HVH_024_0076_0025	欣翫交流、省公候。
