HVH_024_0090_0001	仙鄉聖母祭文 南宋省總督高詹育撰
HVH_024_0090_0002	闠與誌南山重闠錄奇傳天本寺免仙鄉却在人間察江泰嶽翠環遶茱神奔英天才誕出得仙家体
HVH_024_0090_0003	質非凡展唯三月之三神兩化民南糧寺帝照降母儀天下萬千秋永播大声辈然仙有則若聲
HVH_024_0090_0004	傳啟至先生特於仙本肖安生不知歷室造蓬島銀河亭休直北闌和化、雨、萬家吏童迫日看
HVH_024_0090_0005	重山唐早詩八章雲漢見憂千村南畝面時田间亀涌心愁牧薫帝方凛吕宮问野神
HVH_024_0090_0006	体天地下為心一誠莫格監隧爲蘇眸覓寄寐載途民剧忉洞怙暑怒神禦灾捍患為夫
HVH_024_0090_0007	一封奏達萬明宸蘇倅覓發生展及抑或者倡遣氣数令旱神无故為灾列令美賦微唯重
HVH_024_0090_0008	雁君忠悫目急在柳或者未蒙撫字令旱神有歩各憂縻令土木未休重雅者甚矣誰共誰
HVH_024_0090_0009	爲父母展宜注意吾願庭曾記蘇文十未盈虔逢辰竹将主喜崇新斯亭族所好民呈其
HVH_024_0090_0010	畢餉牖密張西郊未能陰雨苗青頬枯润室劳謂及物酒随車膏雨仰慈恩偏覆
HVH_024_0090_0011	詹施我公途及我私齊敬聖澤神傷通玄特進八有幸夫讚千斯箱血萬斯倉是若愛合
HVH_024_0090_0012	梓方裁禋祀兜堂祝禽不有神敏帝虔太室又君冥心言著背人敬声相有一誄寸檝慇懃
HVH_024_0090_0013	利利一等 蒸咸好子葉市頌清風吾好蕭粮何冷零侵遽
HVH_024_0090_0014	色漸愁篤雁幸群同出北青水涌野放在胸
HVH_024_0090_0015	八月 溪江水早起震烟日夜宁分不减加池下綿運破失色月中桂影樹開花
HVH_024_0090_0016	景；参褢皆成寔福；禧相是薦衣履尽来南滋岩槎刀好去剖新木
HVH_024_0090_0017	九月 迯山景郭隆霜飛景鄙逃山是此期阁日玩玩歩敞屐俯端草冷題
HVH_024_0090_0018	还魂否褢收多少好視琴芳有竇虛看冬滿年金采品翻来後剪菡萏籬
HVH_024_0090_0019	十月 霜寒露冷小陽春嶺上梅開冠黛新荒野草枯背落葉徑心松秀更枝芬
HVH_024_0090_0020	黃花蔭尽金鋪地白雪浮磯玉踏塵長夜静眠多古愛凉清律至好精神
HVH_024_0090_0021	十一月 朝之無雪峰纷々白岸階々地々塵遙望山坡惟碎去近視低処砂及高峯樹木
HVH_024_0090_0022	皆凋葉淺水魚蝦尽隱身槁々憔悴枯草野翻々獨立有形留
HVH_024_0090_0023	十二月 倐々景至二陽天白雪磯消已晚年遊客要慇思退歩是商他処敬退鞭修身
HVH_024_0090_0024	耐过寒辰及悉性存屋部定週歲就来得駿色笛多幾日到春元
HVH_024_0090_0025	葉竹爲々 一林居子翠参雪少女及簫調々新美説竒而竒意洒知有带精神
HVH_024_0090_0026	葉經霜雪何愁色影掃階前不動塵植特雖然千萬嵗遥去可知心畏春
HVH_024_0090_0027	節後南山 巍々或循蒼一巔峯重厚難進去别宣樹木干北闲自西射張百獣宿岩中
HVH_024_0090_0028	四晨都是掌春色萬古皆然不老容峻極于天雲霧擁興要宝蔵廣無窮
