HVH_025_0005_0001	情後生狂歡，私止痛，思君長白遠宅行。
HVH_025_0005_0002	宋玉陽臺煖後峽雲沉，流去風流自古今。
HVH_025_0005_0003	空留行吟無高弟子，招魂誰續楚腔吟。
HVH_025_0005_0004	巴人和曲卑同調，鄰女窺牆枉許心。
HVH_025_0005_0005	見說與邊庭它生悲秋子歟迭相尋。
HVH_025_0005_0006	馮諼高歌人自笑彈鋏，門下無能豈不祥。
HVH_025_0005_0007	萬歳老稱扶桑日，千金事歸去齊時。
HVH_025_0005_0008	君家寡義曾誰往，計客食無魚祇自歌。
HVH_025_0005_0009	知澠說畫事安得士衣冠收後見相逢。
HVH_025_0005_0010	荊軻一片精神貫白虹，咸陽何事敗前功。
HVH_025_0005_0011	秦王當殿不堪驚，秦庭血後此去悲歌易水風。
HVH_025_0005_0012	市井嘆息身易許，驪車去後計終空。
HVH_025_0005_0013	多百金多事求匕首，早已知君劎去。
HVH_025_0005_0014	綠珠不幸芳名難自保，眾中憐我百恩沉。
HVH_025_0005_0015	綠蘿相伴生前事，谷園荒墜後，樓富貴到頭終一散。
HVH_025_0005_0016	只宛然死即千秋。
