HVH_025_0008_0001	書𩏰（楚）菴留取陰德待留王
HVH_025_0008_0002	鄴中
HVH_025_0008_0003	誰向漳河懺劫灰少陵南下日縈迴
HVH_025_0008_0004	旋石變牙舂玉樓造旨梳尾飄翻在
HVH_025_0008_0005	委荒臺可憐漢江西
HVH_025_0008_0006	陵草青入飛雲古殿来
HVH_025_0008_0007	吳中
HVH_025_0008_0008	笙歌日酡酒家樓亦尋僧問虎丘一日君王荒好色不敎
HVH_025_0008_0009	臣妾久包羞席空響屨聞花瀉草喜荒臺見鹿游車
HVH_025_0008_0010	隋中
HVH_025_0008_0011	散步庵看隋宮與誰同上採蓮舟
HVH_025_0008_0012	鳳輦𩏰旂共遠遊路人猶及說隋家
HVH_025_0008_0013	君王未省愁荒𣅽古尚與磨殿烟花依舊剩楊柳千葉蕭々漫落
HVH_025_0008_0014	當年曲二十四橋看水流
HVH_025_0008_0015	越中
HVH_025_0008_0016	鳥度怕有鷓鴣多路看山山世宁薺霜葉不因雪膽漫傾々
HVH_025_0008_0017	效顰捧心何嘗昔萬忙々何理殘褐白馬新墳去更返翻𩏰
