HVH_025_0014_0001	雙袖多情此舟程，荷葉搖搖綠相陪。
HVH_025_0014_0002	離支映酒紅和淚，襄陽舊子弟，習家池畔送出。
HVH_025_0014_0003	贈余德山 庚午九十三，自号望百老人老病驕懷道，獨守四朝之献。
HVH_025_0014_0004	此猶存，百年尚欠三十日。
HVH_025_0014_0005	雙眼曾看五代孫。
HVH_025_0014_0006	膝下詒成皆脫穟，霜中老榦暗窺園。
HVH_025_0014_0007	先生不灑落，高興白首扵逢許。
HVH_025_0014_0008	贈言 庚子，弟卒於古堂而歸送鄭爾明由天津入都好送情重別離輕，又向江頭歎北征。
HVH_025_0014_0009	地隔帝城三兩日，路沿滄海百千程。
HVH_025_0014_0010	直愁去馬奔星去，擬作乘風自西行。
HVH_025_0014_0011	到日金臺重原古，煩君為伴袁先生。
HVH_025_0014_0012	贈阮雅秋草第新結水边亭，終日柴门不敢扃。
HVH_025_0014_0013	鄰叟皆来伸手信，林僧怪客借榻，喧閙尋紅。
HVH_025_0014_0014	尊磊砢，逞將畫青山。
HVH_025_0014_0015	已低屏，贏得牀頭尊酒満，不知何處是醉醒。
HVH_025_0014_0016	對梅江北江南送興懶，柴门猶得見花新。
HVH_025_0014_0017	披看明月不知夜，
