HVH_025_0020_0001	嘶門分雨却晴臨風每憶佳人閨傷他衣襟爲孤生莫
HVH_025_0020_0002	王孫歸未得少濶斜日想鴈行
HVH_025_0020_0003	白牡丹
HVH_025_0020_0004	玉階銀座推世裳萬紫千紅拱素王三月烟花誇富貴九
HVH_025_0020_0005	重氷雪代肝腸月花夜浸銀雲厚露氣晨融粉汗
HVH_025_0020_0006	香百寶欄杆干看幾曲護誇金葉羨腰黃
HVH_025_0020_0007	採蜨踏草結蝴蝶
HVH_025_0020_0008	香消金谷東風暖色入湘簾細雨晴縱使無花成何華
HVH_025_0020_0009	常爲寄憂憶同名寸心独共春魄断繊指裁成粉
HVH_025_0020_0010	翅輕金載相思痴雙貼婦妹南園于愁旅館傳
HVH_025_0020_0011	折觀音偶作觀音
HVH_025_0020_0012	瓶灑楊枝丰有方膽瓶清供雪肝腸一秋好夢依菩
HVH_025_0020_0013	薩九畹同心謝楚湘名字無零瓔珞座色空非證雨花
HVH_025_0020_0014	傷他生幸莫惶幽谷顧像紅蓮出水鄉
HVH_025_0020_0015	摘婷妹花貼婷妹
HVH_025_0020_0016	新粧慵作鳳凰簫金盒携將贈隔林在柯音曾憐
