HVH_025_0029_0001	兩兩無眠夜闌人靜也難別湖邊 人面芙蓉在眼前
HVH_025_0029_0002	畢竟誰妍美人酌酒花来勸奈問花無語茫然輸
HVH_025_0029_0003	他人解語醉並香肩
HVH_025_0029_0004	鴛鴦 小桃紅
HVH_025_0029_0005	葉底紅蕖放渚畔銀波漾正羨雙飛旋驚雙宿宛然
HVH_025_0029_0006	隨唱笑長生殿裏祝姻緣盟誓空成誑 畫裏原難像
HVH_025_0029_0007	繡處何曾相預既相交翼還相比翠紅偎傍問誰行
HVH_025_0029_0008	修了幾生經来得到若般様
HVH_025_0029_0009	送鄭爾明由天津入都 燕臺春
HVH_025_0029_0010	祖逖長鞭對視寶劍王孫芳艸天涯肥馬輕裘四方 許
HVH_025_0029_0011	為家薰風又上僊槎羨牙檣錦纜乘風破浪 為
HVH_025_0029_0012	客路入京華
HVH_025_0029_0013	長安到日紫禁城中黃金臺畔恰好
HVH_025_0029_0014	看花屠沽店裏悲歌醉聽琵琶回首鄉園故人相望
HVH_025_0029_0015	秋水蒹葭記縹緲竹樓閒話沽酒處烹茶
HVH_025_0029_0016	别鶴 鳳凰臺上憶吹簫
HVH_025_0029_0017	頂染丹砂翎梳白雪輕盈體態凌風翥高閒性格不任樊
