HVH_026_0040_0001	書以謝趙王魏齊憂服出趙國至信陵君之門信陵不出見 (無忌戮將 晉 曹鄙)
HVH_026_0040_0002	齊引劔自刻卿遂隱白雲山出列國
HVH_026_0040_0003	魏其 (竇后從兄竇嬰 爲魏其侯) 武安 (孝景同母后弟 曰蚡爲武安侯) 劇孟 (以任俠名諸候家好博戲 其母死遠方送塟者千乘)
HVH_026_0040_0004	季路 (死於衛輒 之難) 仇牧 (死於閔公之難出莊公二年萬弒其) 曾子 (孟氏使陽膚 爲士師問於曾)
HVH_026_0040_0005	子曾子曰上失其道民散久矣苟得其情則哀 矜而勿喜出子張爲膏曾子弟子 孫弘開閣 (初弘起東閣 一曰敬賢館以 待大賢二曰髦材館以待)
HVH_026_0040_0006	弟子以 大才次日接士館 次文章以待國士出字典 下帷發憤 (仲舒少治春秋下帷講讀 莫或見其面者三年不窺園) 子曰噫 (出先進 篇 離)
HVH_026_0040_0007	柝 (柝音夕破木謂之柝柝牆) 亢禮 (音抗敵也上下相 當無所卑屈) 不脫冠 (禹貢葦 賢良爲)
HVH_026_0040_0008	河南守以事爲官府所責令免冠謝曰 不解劔 (暴勝之請與不疑相不疑帶 劔至門人詣門下欲從解劔)
HVH_026_0040_0009	魁 (劔免 安可服劔也出綱目)
HVH_026_0040_0010	不受唾 (延年與事光曰當避就獄 吉與議之 延年曰何面目入牢獄使衆人指 笑我卒徒唾吾輩乎 遂即閉閣獨居齊舍 數日乃詣廷尉自𦘕)
HVH_026_0040_0011	警自刻 不受挟持 (光受遺時丙吉進薦望之召見先是桀謀誅光光既誅桀 出入自備吏民入見者令露身索去兵刃兩吏挟持望之獨)
HVH_026_0040_0012	不首同引出 闖出網檻 責張湯 (湯客田甲雖賈人有賢操始湯爲小吏 與之交通田甲每責湯以行義)
HVH_026_0040_0013	詎 (字君卿爲人短小議論常依名節 與谷永俱爲五)
HVH_026_0040_0014	侯客 (出綬 銅)
HVH_026_0040_0015	踞廁 (廁即側字詎踞生床 以見如輕之也古者)
