HVH_027_0011_0001	壹男子朱文顯字樣之金茶堂
HVH_027_0011_0002	生下者稠長成惟参
HVH_027_0011_0003	長女子朱氏𦀚于歸韓公良奥
HVH_027_0011_0004	生下男肆人女叁人
HVH_027_0011_0005	少女子朱氏𦀚于歸阮公良奥
HVH_027_0011_0006	生下男陸人女壹人
HVH_027_0011_0007	拾月拾壹日忌
HVH_027_0011_0008	伍月廿壹日忌
HVH_027_0011_0009	先祖考朱文顯公其爲人也直而温簡而嚴少孤貧
HVH_027_0011_0010	公事親父没家資常有不足處晏如也初受業於
HVH_027_0011_0011	本村士望黎先生旋從學於親舅朱貴公諱潯及長
HVH_027_0011_0012	遊學於螺湖宏詞朱先生之門先生早登庠序後來
HVH_027_0011_0013	赴京應宏詞科尋補壽昌縣訓導至年伍拾陸擇配於
HVH_027_0011_0014	本村范貴公之第叁女小科早占而大業愈勤學問
HVH_027_0011_0015	既娶公長於詩書史學至今現存詩書要約貳部筆
HVH_027_0011_0016	跡及詔表篇策文諸集而支詞亦潔公平生惟好作
