HVH_027_0013_0001	惟叄長曰勑。
HVH_027_0013_0002	初命娶本村阮貴公女。
HVH_027_0013_0003	後續娶黎貴公之女。
HVH_027_0013_0004	次曰勤。
HVH_027_0013_0005	初命娶本村朱貴公女。
HVH_027_0013_0006	後續娶丙下社陳貴公之女。
HVH_027_0013_0007	季曰勸。
HVH_027_0013_0008	初命娶本村阮貴公之女。
HVH_027_0013_0009	至於家上各有其分。
HVH_027_0013_0010	如斯景况。
HVH_027_0013_0011	歷幾歡悲。
HVH_027_0013_0012	而公處之常泰然矣。
HVH_027_0013_0013	知其處己也。
HVH_027_0013_0014	儉約自居。
HVH_027_0013_0015	如公製壹衣。
HVH_027_0013_0016	常編聚數年乃成。
HVH_027_0013_0017	可見其儉。
HVH_027_0013_0018	而獨豐於祀事。
HVH_027_0013_0019	如公設俎豆之等類。
HVH_027_0013_0020	可見其豐。
HVH_027_0013_0021	其接人也。
HVH_027_0013_0022	和樂相與。
HVH_027_0013_0023	而各得其歡心。
HVH_027_0013_0024	訓子則以學行爲主。
HVH_027_0013_0025	如公之教訓兒孫者。
HVH_027_0013_0026	每多得於誦讀時警喻之。
HVH_027_0013_0027	然始終惟以勤於學行爲第壹件事。
HVH_027_0013_0028	而其箠楚不用。
HVH_027_0013_0029	正家則以和愄爲先。
HVH_027_0013_0030	如公常命書愄字於壁兩邊。
HVH_027_0013_0031	題云。
HVH_027_0013_0032	張公曰非人不忍。
HVH_027_0013_0033	老子云。
HVH_027_0013_0034	上士無爭。
HVH_027_0013_0035	又命書和成貳大字於壁上。
HVH_027_0013_0036	謂眾子曰。
HVH_027_0013_0037	爾等宜細認之。
HVH_027_0013_0038	而於和睦成風。
HVH_027_0013_0039	至於宗廟上自王父母下至伯父及伯母。
HVH_027_0013_0040	堂兄與堂侄。
HVH_027_0013_0041	墳墓不安者。
HVH_027_0013_0042	擇地改墓之。
HVH_027_0013_0043	祀典有缺者。
HVH_027_0013_0044	春秋合祭之。
HVH_027_0013_0045	第壹伯支朱文純公。
HVH_027_0013_0046	惟有朱文積公生下壹男朱文萬。
HVH_027_0013_0047	在文江縣居中社。
HVH_027_0013_0048	文積公命没。
