HVH_027_0024_0001	先祖妣鄉文會甲鄉老柒旬上上壽朱公側室衛氏哀號慈忍孺人。
HVH_027_0024_0002	墓在本村月 日忌。
HVH_027_0024_0003	處。
HVH_027_0024_0004	生下壹男貳女。
HVH_027_0024_0005	第壹男朱王桂。
HVH_027_0024_0006	第貳女朱氏淑。
HVH_027_0024_0007	第叄女朱氏瀾。
HVH_027_0024_0008	先祖考生於丙辰年玖月拾肆日亥時。
HVH_027_0024_0009	享齡歲。
HVH_027_0024_0010	卒於年 月 日 埤。
HVH_027_0024_0011	墓在本村月 日忌。
HVH_027_0024_0012	處。
HVH_027_0024_0013	先祖考第拾溢世祖鄉文會甲鄉老朱公諱桂字聯芳號福善君府先祖妣生於庚申年臘月初陸日寅時。
HVH_027_0024_0014	享齡歲。
HVH_027_0024_0015	卒於年 月 日 埤。
HVH_027_0024_0016	墓在本村月 日忌。
HVH_027_0024_0017	處。
HVH_027_0024_0018	先祖妣鄉文會甲鄉老朱公正室阮氏秋號慈仁人孺
