HVH_027_0031_0001	朱進士祠堂祭文雜自初壹日至初拾日。
HVH_027_0031_0002	無用寫越字自拾壹日至参拾日。
HVH_027_0031_0003	有用寫越字初祖考忌日祭文皇號千年。
HVH_027_0031_0004	歲次干支某月建干支。
HVH_027_0031_0005	越朔日干支某日干支。
HVH_027_0031_0006	朱族宗子朱文某陪拜。
HVH_027_0031_0007	朱文某仝本支上下等。
HVH_027_0031_0008	敢祇告于初祖考莫朝贈寺丞朱公號至善府君。
HVH_027_0031_0009	初祖妣莫朝贈寺丞朱公正室號慈仁夫人。
HVH_027_0031_0010	（第壹）位前曰。
HVH_027_0031_0011	有開必先。
HVH_027_0031_0012	明德遠矣。
HVH_027_0031_0013	諱日復臨。
HVH_027_0031_0014	敬修祀事。
HVH_027_0031_0015	謹以金銀粢酒。
HVH_027_0031_0016	或品菓鷄黍粢（音潔）牲三牲。
HVH_027_0031_0017	用伸奠𢱎。
HVH_027_0031_0018	恭請先靈（位列）会后（位列）祠堂本土（位神）咸兹来格。
HVH_027_0031_0019	尚饗。
HVH_027_0031_0020	始祖考忌日祭文。
HVH_027_0031_0021	位前曰。
HVH_027_0031_0022	宦業科名。
HVH_027_0031_0023	發祥之始。
HVH_027_0031_0024	諱日復臨。
HVH_027_0031_0025	敬修祀事。
HVH_027_0031_0026	貢子忌日祭文。
HVH_027_0031_0027	位前曰。
HVH_027_0031_0028	襲蔭恩蒙。
HVH_027_0031_0029	不顯亦世。
HVH_027_0031_0030	諱日復臨。
HVH_027_0031_0031	敬修祀事。
HVH_027_0031_0032	員孫忌日祭文。
