HVH_027_0037_0001	羽林官祭文維皇號干年。
HVH_027_0037_0002	歲次干支。
HVH_027_0037_0003	某月建干支。
HVH_027_0037_0004	越朔日干支。
HVH_027_0037_0005	某日干支。
HVH_027_0037_0006	某省府縣總社村。
HVH_027_0037_0007	孝子某或孝孫某。
HVH_027_0037_0008	痛念亡靈。
HVH_027_0037_0009	祖父或祖母字號某。
HVH_027_0037_0010	親父或親母字號某。
HVH_027_0037_0011	由於其年月日時。
HVH_027_0037_0012	頃抛塵世。
HVH_027_0037_0013	倏赴陰司。
HVH_027_0037_0014	今適值中元全節。
HVH_027_0037_0015	謹以金銀肴酒。
HVH_027_0037_0016	財碼噐皿。
HVH_027_0037_0017	具陳品之儀。
HVH_027_0037_0018	敢祗奏于羽林神官主陛下。
HVH_027_0037_0019	奠祭位前曰。
HVH_027_0037_0020	至公至正。
HVH_027_0037_0021	乃聖乃神。
HVH_027_0037_0022	雖陰陽之有隔。
HVH_027_0037_0023	亦感應以能伸。
HVH_027_0037_0024	茲逢中元令節。
HVH_027_0037_0025	財碼敬陳。
HVH_027_0037_0026	方圓大小。
HVH_027_0037_0027	畫形化虛為寔。
HVH_027_0037_0028	是赤白青黃各色。
HVH_027_0037_0029	變假成真。
HVH_027_0037_0030	仗望收拾。
HVH_027_0037_0031	此物交與亡人。
HVH_027_0037_0032	執付泉臺。
HVH_027_0037_0033	用作行裝之寶。
HVH_027_0037_0034	收回陰界。
HVH_027_0037_0035	以為資具之新。
HVH_027_0037_0036	勿使邪神搶奪。
HVH_027_0037_0037	外鬼妄分。
HVH_027_0037_0038	俾眾子皆得全其孝念而亡魂亦得頼其鴻恩。
HVH_027_0037_0039	謹告。
HVH_027_0037_0040	右羽林神官祭文敬書。
