HVH_027_0044_0001	雲敵聖母事蹟。
HVH_027_0044_0002	聖母居北寧省武江縣雲敵社。
HVH_027_0044_0003	傳言聖母馮氏之女。
HVH_027_0044_0004	尊號慈顏天性端莊淑色。
HVH_027_0044_0005	又絕倫。
HVH_027_0044_0006	年拾捌歲。
HVH_027_0044_0007	庚辰年拾壹月拾伍日。
HVH_027_0044_0008	夜夢浴身於六頭江。
HVH_027_0044_0009	禹普賴社。
HVH_027_0044_0010	忽見神龍抱繞。
HVH_027_0044_0011	感而有娠。
HVH_027_0044_0012	懷胎拾肆个月。
HVH_027_0044_0013	壬午年正月初伍日。
HVH_027_0044_0014	詣寺行香。
HVH_027_0044_0015	回至剃仞處。
HVH_027_0044_0016	生下壹胞。
HVH_027_0044_0017	肆男壹女。
HVH_027_0044_0018	抱歸撫養。
HVH_027_0044_0019	男命名各曰：吽、唱、咬、禮。
HVH_027_0044_0020	女命名各曰：淡娘。
HVH_027_0044_0021	兄弟平拾捌歲。
HVH_027_0044_0022	才力過人。
HVH_027_0044_0023	民皆稱頌。
HVH_027_0044_0024	已亥年肆月拾伍日。
HVH_027_0044_0025	聖母崩。
HVH_027_0044_0026	夜夢白頭翁謂曰：將葬在村旁邊潭筥大土阜。
HVH_027_0044_0027	南有井。
HVH_027_0044_0028	是真吉地。
HVH_027_0044_0029	張公寄神事蹟。
HVH_027_0044_0030	張公生於雲敵。
HVH_027_0044_0031	因籍焉。
HVH_027_0044_0032	少時與兒童戲。
HVH_027_0044_0033	類多出奇。
HVH_027_0044_0034	及長。
HVH_027_0044_0035	學于呂先生。
HVH_027_0044_0036	愛讀兵書。
HVH_027_0044_0037	諳嫻武畧。
HVH_027_0044_0038	每承閑。
HVH_027_0044_0039	公問母曰。
HVH_027_0044_0040	知有母而不見父者。
HVH_027_0044_0041	奈何。
HVH_027_0044_0042	聖母備述神龍之事。
HVH_027_0044_0043	乃言。
HVH_027_0044_0044	是乃水神張氏之苗裔也。
HVH_027_0044_0045	公乃請從張姓。
HVH_027_0044_0046	家雖貧。
HVH_027_0044_0047	拾幾年間。
HVH_027_0044_0048	讀書養母。
HVH_027_0044_0049	不離左右。
HVH_027_0044_0050	聖母崩。
HVH_027_0044_0051	葬禮畢。
HVH_027_0044_0052	日夜
