HVH_027_0049_0001	至南平江。
HVH_027_0049_0002	今属鳳眼縣鳳眼社。
HVH_027_0049_0003	公亦沈舟自溺而死。
HVH_027_0049_0004	時肆月初拾日。
HVH_027_0049_0005	現今鳳眼社有祠廟奉祀事蹟存焉。
HVH_027_0049_0006	全家兄弟妻子奴僕拾幾人。
HVH_027_0049_0007	願同亦沈舟自溺而死。
HVH_027_0049_0008	惟存張伯大王第三子張裔。
HVH_027_0049_0009	尚幼。
HVH_027_0049_0010	與第五妹美淡娘依投不及。
HVH_027_0049_0011	留在扶蘭山而居。
HVH_027_0049_0012	南帝聞張公兄弟已死。
HVH_027_0049_0013	乃求其後裔。
HVH_027_0049_0014	尋召張裔拜為刺史。
HVH_027_0049_0015	張裔聽之深哀痛親父忠義。
HVH_027_0049_0016	猶存張裔。
HVH_027_0049_0017	不肯受其刺史官職。
HVH_027_0049_0018	乃尋至于武平江邊覆舟之處。
HVH_027_0049_0019	自投于江而死。
HVH_027_0049_0020	時貳月初貳日。
HVH_027_0049_0021	武平江邊枝上社有祠廟奉祀。
HVH_027_0049_0022	今合和縣俗號庯肖。
HVH_027_0049_0023	後李南帝追封第一公大樹將軍。
HVH_027_0049_0024	第二公武林郎。
HVH_027_0049_0025	果毅靈應上將軍。
HVH_027_0049_0026	張公第五妹美淡娘自全家沈舟之後。
HVH_027_0049_0027	乃歸回本貫親侍聖母。
HVH_027_0049_0028	祠後亦化跡。
HVH_027_0049_0029	今有陵廟在周畝社地界。
HVH_027_0049_0030	俗號枝檪處。
HVH_027_0049_0031	逮叁月初肆日民奉祀。
HVH_027_0049_0032	諸公生為將忠心未伸。
HVH_027_0049_0033	死為神氣魄未散。
HVH_027_0049_0034	猶為越民陰扶討賊。
HVH_027_0049_0035	今請記其事及歷朝褒封祀典。
HVH_027_0049_0036	詳記于后。
HVH_027_0049_0037	後吳王暨南晉王討西隴冊李暉賊于蒐崙軍次于
