HVH_027_0050_0001	扶蘭山下。
HVH_027_0050_0002	夜夢見壹人黑面青眼。
HVH_027_0050_0003	身穿白衣龍幘蛇鞵。
HVH_027_0050_0004	壹人白面長鬚。
HVH_027_0050_0005	身穿赤衣龍幘鳳鞋。
HVH_027_0050_0006	企未白曰。
HVH_027_0050_0007	逆賊猖狂。
HVH_027_0050_0008	請助王師平之。
HVH_027_0050_0009	吳王問曰。
HVH_027_0050_0010	君等何人。
HVH_027_0050_0011	姓名其誰。
HVH_027_0050_0012	訝不曾識。
HVH_027_0050_0013	貳公再拜曰。
HVH_027_0050_0014	臣本扶蘭山人。
HVH_027_0050_0015	姓張。
HVH_027_0050_0016	兄名吼。
HVH_027_0050_0017	第名喝。
HVH_027_0050_0018	皆趙越王名將。
HVH_027_0050_0019	後李佛子逼。
HVH_027_0050_0020	乃召臣等。
HVH_027_0050_0021	而授以官爵。
HVH_027_0050_0022	臣等以為忠臣不事二君。
HVH_027_0050_0023	遂挈家流舟而死。
HVH_027_0050_0024	上帝憫其忠。
HVH_027_0050_0025	敕封兄為灌河龍王。
HVH_027_0050_0026	弟為支漫深頭巡都副使。
HVH_027_0050_0027	相與巡行武諒貳江。
HVH_027_0050_0028	向者吳先主破南漢擒弘操于白藤江。
HVH_027_0050_0029	臣等同来助戰。
HVH_027_0050_0030	雖幽顯異路。
HVH_027_0050_0031	臣之事君。
HVH_027_0050_0032	忠心則壹矣。
HVH_027_0050_0033	王悟。
HVH_027_0050_0034	餉奠祝曰。
HVH_027_0050_0035	苟能平賊。
HVH_027_0050_0036	立廟分封。
HVH_027_0050_0037	香火不絶。
HVH_027_0050_0038	及進軍于崑崙山。
HVH_027_0050_0039	而山勢峻極。
HVH_027_0050_0040	難得躋攀。
HVH_027_0050_0041	其夜見貳公會鬼兵于扶蘭山地界。
HVH_027_0050_0042	壹宣公出兵自武平江。
HVH_027_0050_0043	經如月江入富良江。
HVH_027_0050_0044	殺于源頭。
HVH_027_0050_0045	貳公出兵自南平江。
HVH_027_0050_0046	移于上源頭。
HVH_027_0050_0047	企未助戰。
HVH_027_0050_0048	現今有祠廟在太原省富良縣。
HVH_027_0050_0049	俗號驍愚。
HVH_027_0050_0050	吳王悟。
HVH_027_0050_0051	謂左右曰。
HVH_027_0050_0052	今戰必勝已。
HVH_027_0050_0053	而果然。
HVH_027_0050_0054	即命使介。
HVH_027_0050_0055	迺立祠祀之。
