HVH_027_0058_0001	卦長生日月而百處福神助順何嘗桑滄有靈鑒格值
HVH_027_0058_0002	在生祥玆者存天恭値誕日恰當望龍章之炳赫申
HVH_027_0058_0003	蟻悃以敬將福有路来山水之高詳不盡誠如月滿
HVH_027_0058_0004	歲時而永久難忘
HVH_027_0058_0005	三江化日祭文
HVH_027_0058_0006	位前曰恭惟大王大畧雄才精忠高義臣趙山中高
HVH_027_0058_0007	宇𡨂李朝之徽命不汚扶黎雲表翺吟詩宋寇之侵
HVH_027_0058_0008	兵自畏萬頃波濤並帖顯靈蹟十月江一天花草皆
HVH_027_0058_0009	春湛餘恩於梓里茲者恭臨忌時深追蔭庇望碑庭
HVH_027_0058_0010	想百平餘水面之新荷掛佇倍思三爵敬筵前之薄
HVH_027_0058_0011	聖姑忌日祭文
HVH_027_0058_0012	位前曰恭惟美娘花姿月魄玉葉金枝謝姮遜美蘇
HVH_027_0058_0013	妹輸奇懿範留芳惟君子女餘靈未泯宛水中坻茲
HVH_027_0058_0014	者恰逢春暮薄薦菲儀誠之所感神其格思
HVH_027_0058_0015	空奠淚改爲空想倍生哀改爲倍思
HVH_027_0058_0016	右文敬書
