HVH_028_0001_0001	越南民主共和二年丙戌歲九月吉日周合族奉寫
HVH_028_0001_0002	先祖考妣諱名字號墓忌以承祭祀之尊以識人倫之序
HVH_028_0001_0003	謹陳于后継序不忘
HVH_028_0001_0004	上祖失傳只知口傳自
HVH_028_0001_0005	元祖考周永興字福啟
HVH_028_0001_0006	妣周氏願（或馮氏願）號慈慈善（生周文豪 周文安 周氏鄧）
HVH_028_0001_0007	第妹六宮一周氏桂花娘 例四月十五日
HVH_028_0001_0008	二世祖考周文豪字福長 本社什里侯本村勾當
HVH_028_0001_0009	妣阮氏隆號慈惠（生周文碑 周文述 周文愚（無後））
HVH_028_0001_0010	三世祖考周文碑字福純 本社什里侯
HVH_028_0001_0011	妣馮氏嘉號慈真（生周文光 周公欣 周文哮（早没））
HVH_028_0001_0012	四世祖考周文光字福盛
HVH_028_0001_0013	妣馮氏鍊號慈石
HVH_028_0001_0014	墓洴隊処 十月二十二日 墓凍汚処 七月十四日
HVH_028_0001_0015	墓凍汚処 十月十八日 墓校密処 十月初九日
HVH_028_0001_0016	墓校桔處 五月二十一日 墓凍汚処 正月十六日
HVH_028_0001_0017	墓剏潭処 四月十二日 墓題祺処 五月初二日
