HVH_028_0005_0001	三世祖周文碑次子分支以下
HVH_028_0005_0002	四世 起祖考周公欣字福厚 什里侯
HVH_028_0005_0003	妣馮氏遐
HVH_028_0005_0004	生 周國體 周氏娉
HVH_028_0005_0005	周國翰 周氏全 周達能
HVH_028_0005_0006	窆嶇檟処 四月初二日
HVH_028_0005_0007	窆順安社福茶処 正月二十八日
HVH_028_0005_0008	五世 二世祖考周國體 什里侯
HVH_028_0005_0009	妣馮氏俸 妣阮氏慢
HVH_028_0005_0010	二世殤周達能
HVH_028_0005_0011	生周伯𦨿 周氏争影 生周公用 周氏争
HVH_028_0005_0012	窆嶇檟処 二月二十六日
HVH_028_0005_0013	窆同藤処 十月二十九日
HVH_028_0005_0014	窆嶇檟処 五月十四日
HVH_028_0005_0015	窆馮容処 七月十三日
HVH_028_0005_0016	六世 三世祖考周公用 里長
HVH_028_0005_0017	三世周伯𦨿 里長 七月二十三日 窆板𦨭処
HVH_028_0005_0018	妣陳氏勸
HVH_028_0005_0019	生 周伯狀 周季重 什里侯 周仲尼 周仲進
HVH_028_0005_0020	妣周氏崩
HVH_028_0005_0021	窆創潭処 十二月二十七日
HVH_028_0005_0022	窆嶇羅処 四月十三日
HVH_028_0005_0023	窆井朴処 五月十七日
HVH_028_0005_0024	七世 四世祖考周公狀字公𩕆
HVH_028_0005_0025	妣周氏溶 生周伯日
HVH_028_0005_0026	窆核結処 四月二十六日
HVH_028_0005_0027	窆馮容処 四月二十日
HVH_028_0005_0028	窆劉淡処 十一月初一日
HVH_028_0005_0029	八世 五世祖考周伯日字福登
HVH_028_0005_0030	本社里長那生春秋斯文文長本鄉文會長 本村本甲本社耆老会位享始八十二嵗
